borough,quarter,date,Good_job_residual,Trust_MPS_residual,Fair_treatment_residual
Barking and Dagenham,Q1_1516,2015-04-01 00:00:00,-0.06742631534961019,,-0.02933439005022831
Barking and Dagenham,Q1_1617,2016-04-01 00:00:00,0.03628697983708551,-0.022902959021420255,-0.0018974683227862554
Barking and Dagenham,Q1_1718,2017-04-01 00:00:00,0.15842471758753818,0.1152509891974356,0.13420579644485997
Barking and Dagenham,Q1_1819,2018-04-01 00:00:00,0.05555507579695196,0.03904753938956451,0.10895886657800047
Barking and Dagenham,Q1_1920,2019-04-01 00:00:00,0.065540353728471,0.03350110147388807,0.041183810590043946
Barking and Dagenham,Q1_2021,2020-04-01 00:00:00,0.07700332193195403,0.059745625812956726,0.029549313928746934
Barking and Dagenham,Q1_2122,2021-04-01 00:00:00,-0.04795466707495688,0.01699620525591594,-0.06431808517827409
Barking and Dagenham,Q1_2223,2022-04-01 00:00:00,-0.04439988110722459,-0.04129030988666704,-0.02286880531735136
Barking and Dagenham,Q1_2324,2023-04-01 00:00:00,0.006836154849977905,-0.06623385498214118,-0.050133929502390595
Barking and Dagenham,Q1_2425,2024-04-01 00:00:00,-0.08295163497222263,-0.050592223463274855,-0.08227835796660499
Barking and Dagenham,Q1_2526,2025-04-01 00:00:00,-0.061326687001851676,-0.010168523913987815,-0.023461905479324585
Barking and Dagenham,Q2_1516,2015-07-01 00:00:00,-0.06713008318563252,,-0.02921361672848477
Barking and Dagenham,Q2_1617,2016-07-01 00:00:00,0.0903025713932275,-0.01096735575656027,-0.00026031885026234214
Barking and Dagenham,Q2_1718,2017-07-01 00:00:00,0.13339483500538596,0.10764669487771317,0.15623210439855761
Barking and Dagenham,Q2_1819,2018-07-01 00:00:00,0.05601588138536173,0.01926965779700751,0.08914673618960156
Barking and Dagenham,Q2_1920,2019-07-01 00:00:00,0.06066898036528234,0.05115299259520545,0.06919776041026082
Barking and Dagenham,Q2_2021,2020-07-01 00:00:00,0.0786940992720978,0.0602010565633071,0.00839260493197036
Barking and Dagenham,Q2_2122,2021-07-01 00:00:00,-0.07535440696893053,-0.02175041230208452,-0.063257963798525
Barking and Dagenham,Q2_2223,2022-07-01 00:00:00,-0.01729637337722867,-0.022686482733451308,-0.014049700018844091
Barking and Dagenham,Q2_2324,2023-07-01 00:00:00,-0.007041713761150037,-0.08328285328325635,-0.07763794751969022
Barking and Dagenham,Q2_2425,2024-07-01 00:00:00,-0.08153023931663855,-0.03508686007879602,-0.0476218754504919
Barking and Dagenham,Q2_2526,2025-07-01 00:00:00,-0.04162898337129778,-0.015134456880390945,-0.02766213322440647
Barking and Dagenham,Q3_1516,2015-10-01 00:00:00,-0.024996692873484383,,-0.032420819383675026
Barking and Dagenham,Q3_1617,2016-10-01 00:00:00,0.07470707496253792,0.006335492153061062,0.027458407294581266
Barking and Dagenham,Q3_1718,2017-10-01 00:00:00,0.06739829815059095,0.0899360130193364,0.12971034502440493
Barking and Dagenham,Q3_1819,2018-10-01 00:00:00,0.08029479042059495,0.03133218586612063,0.08089123972589773
Barking and Dagenham,Q3_1920,2019-10-01 00:00:00,0.041788079651420396,0.05169242301328114,0.03965401518129208
Barking and Dagenham,Q3_2021,2020-10-01 00:00:00,0.005363651893102062,0.04377548834799305,-0.03704219454649027
Barking and Dagenham,Q3_2122,2021-10-01 00:00:00,-0.019402913209958905,-0.013701881167476171,-0.02490853252902059
Barking and Dagenham,Q3_2223,2022-10-01 00:00:00,-0.04037822534561425,-0.054531564060188664,-0.02715220142148922
Barking and Dagenham,Q3_2324,2023-10-01 00:00:00,-0.035749383187567485,-0.08194079950846422,-0.09341899489418315
Barking and Dagenham,Q3_2425,2024-10-01 00:00:00,-0.06544102261265289,-0.03215172398044275,-0.03513931272576298
Barking and Dagenham,Q3_2526,2025-10-01 00:00:00,-0.05732322385664662,-0.02787920577236458,-0.029983664853477254
Barking and Dagenham,Q4_1415,2015-01-01 00:00:00,-0.11325221457450474,,-0.05170959871118519
Barking and Dagenham,Q4_1516,2016-01-01 00:00:00,-0.0001911488800685479,-0.04120533976453489,-0.020461607719834962
Barking and Dagenham,Q4_1617,2017-01-01 00:00:00,0.053522146306627216,0.01576433053392201,0.046975314007607016
Barking and Dagenham,Q4_1718,2018-01-01 00:00:00,0.05127616676171887,0.05698501132045142,0.10721436304170451
Barking and Dagenham,Q4_1819,2019-01-01 00:00:00,0.0706629161598139,0.03632985003358702,0.06511830598692259
Barking and Dagenham,Q4_1920,2020-01-01 00:00:00,0.06122853000835138,0.061422707804243304,0.03942588779577649
Barking and Dagenham,Q4_2021,2021-01-01 00:00:00,-0.04106077586521628,0.005858553682705048,-0.053738404274272455
Barking and Dagenham,Q4_2122,2022-01-01 00:00:00,-0.06127905024848418,-0.0246062203977796,-0.02567343023339652
Barking and Dagenham,Q4_2223,2023-01-01 00:00:00,-0.028244835033466087,-0.07832344258725044,-0.05035940407667938
Barking and Dagenham,Q4_2324,2024-01-01 00:00:00,-0.020180737236295876,-0.044436370456998775,-0.06707168587366008
Barking and Dagenham,Q4_2425,2025-01-01 00:00:00,-0.11792175239007041,-0.05298792914355244,-0.0643046659203026
Barking and Dagenham,Q4_2526,2026-01-01 00:00:00,-0.10550166466733735,-0.0703831495966265,-0.025933856959145962
