crime_type,metric,n_obs,mean_residual,t_stat_mean,t_p_mean,durbin_watson,bp_stat,bp_p,shapiro_p,skew,kurtosis,max_cooks_d,max_leverage,png_path
ARSON AND CRIMINAL DAMAGE,Good job,36,-0.13333747049689007,-0.10823199137372087,0.9144297715764645,0.1908164075896179,3.966195585915926,0.046422544427184784,0.035719266614861134,0.06127491484500238,-1.334984624822912,0.23907332057570413,0.25633042529199257,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\ARSON_AND_CRIMINAL_DAMAGE__Good_job__residuals_diagnostics.png
BURGLARY,Good job,36,-0.12366819538825248,-0.10457336066112623,0.917311336694949,0.1848498541599461,0.3971231295882962,0.5285787449936947,0.57442945699661,0.23139691750112124,-0.7017742535492779,0.14765797251558865,0.4142801128814897,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\BURGLARY__Good_job__residuals_diagnostics.png
DOMESTIC ABUSE,Good job,36,-0.11269576723932584,-0.10377256909894635,0.9179421987706894,0.44792565677447427,0.14309186844381783,0.7052264204017313,0.25981478537824665,0.5096798135039867,0.24924835578999494,0.16414522144156735,0.19274450811173588,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\DOMESTIC_ABUSE__Good_job__residuals_diagnostics.png
DRUG OFFENCES,Good job,36,-0.08305983945190579,-0.09327615710829563,0.9262160829425914,0.3843033337456719,0.9031883814530572,0.34192822512289833,0.4423588273204747,0.1240634585413435,-0.819715784659043,0.20852252546284022,0.22771658320992538,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\DRUG_OFFENCES__Good_job__residuals_diagnostics.png
FRAUD AND FORGERY,Good job,22,-0.003750634857974172,-0.006884914015584877,0.9945716634676659,0.5934148459896914,2.061823279438718,0.15102936460371322,0.3710685787317125,0.7123321108048389,-0.01736308230124095,0.5285696766232572,0.364161182368244,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\FRAUD_AND_FORGERY__Good_job__residuals_diagnostics.png
GUN CRIME,Good job,36,-0.07932584675148457,-0.08801619330781515,0.930365485992275,0.4265754136002325,1.8958075280253208,0.1685483417036816,0.5017458627233053,-0.09939700343532228,-0.897432862742038,0.1409372719660738,0.1672691021004385,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\GUN_CRIME__Good_job__residuals_diagnostics.png
HATE CRIME,Good job,36,-0.09883603423344287,-0.1016505706585331,0.9196141647218189,0.633006337962453,0.12617281573155914,0.7224336743831292,0.9544939718040196,0.24402211862718556,-0.15449140906025338,0.1297363756302658,0.2711126745453247,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\HATE_CRIME__Good_job__residuals_diagnostics.png
KNIFE CRIME,Good job,36,-0.12869525290760042,-0.10678242563413695,0.9155713223477167,0.1456523741056124,0.11729057120868136,0.7319918668647527,0.03226684918023026,0.30872493553788827,-1.0432222030101226,0.27199017709658363,0.24491063513623912,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\KNIFE_CRIME__Good_job__residuals_diagnostics.png
LETHAL BARREL DISCHARGE,Good job,36,-0.0739224472631375,-0.10412213451278739,0.9176668051456981,1.281654104861144,0.7896630522722283,0.37420203053135803,0.7803997565447338,-0.2305583634414107,-0.5694299687519164,0.15962542033692562,0.20807693608068345,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\LETHAL_BARREL_DISCHARGE__Good_job__residuals_diagnostics.png
MISCELLANEOUS CRIMES AGAINST SOCIETY,Good job,36,-0.047138375057984225,-0.06223451828127808,0.9507301271693588,0.5050386114712925,0.6165604874583122,0.43232830939937883,0.13932778904407728,0.1690974389376118,-0.9701388322505933,0.11846933125081181,0.2856011408201372,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\MISCELLANEOUS_CRIMES_AGAINST_SOCIETY__Good_job__residuals_diagnostics.png
POSSESSION OF WEAPONS,Good job,23,-0.003130066331092522,-0.004297014572696359,0.9966102160312316,0.4078841454481256,3.9261291981250643,0.04754125268935596,0.19756768664947988,0.23258524524803614,-1.0831436725411285,0.4449042269169815,0.3356040322712977,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\POSSESSION_OF_WEAPONS__Good_job__residuals_diagnostics.png
PUBLIC ORDER OFFENCES,Good job,36,-0.1047591930206478,-0.1003297505203432,0.9206550536693165,0.6493385816840398,0.00048061413049360624,0.9825094469424263,0.41697235108899416,0.18952672292502828,-0.647797787568114,0.36729671808680087,0.22644165694025198,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\PUBLIC_ORDER_OFFENCES__Good_job__residuals_diagnostics.png
ROBBERY,Good job,36,-0.08727811070385605,-0.09717570972942292,0.9231412055680858,1.1971486124294108,0.4426210978394334,0.5058600686129564,0.6836381946511834,-0.32137988248182997,-0.5764090838216829,0.07843361511856779,0.2799624219825224,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\ROBBERY__Good_job__residuals_diagnostics.png
SEXUAL OFFENCES,Good job,36,-0.07692169499465049,-0.09563713280528789,0.9243542646498139,0.7468112547879576,1.141454708537168,0.28534515003572836,0.02712412145140725,0.8133661221932529,0.10254798964372736,0.1954762385350902,0.3516314348961036,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\SEXUAL_OFFENCES__Good_job__residuals_diagnostics.png
THEFT,Good job,36,-0.08916365332694966,-0.09381442316609567,0.925791579587448,0.5705955060052411,2.3259233851645944,0.12723469888032424,0.2545996054322617,0.5779863060316076,0.24155070333687956,0.26089228013453086,0.3096135795182102,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\THEFT__Good_job__residuals_diagnostics.png
VEHICLE OFFENCES,Good job,36,-0.10802671656237145,-0.10076053171267939,0.9203155554475847,0.3401842589212661,0.018796440883074084,0.8909516634444158,0.0018311526489729112,0.8047411777675872,-0.5930434823782766,0.14373343156653456,0.19869918275138498,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\VEHICLE_OFFENCES__Good_job__residuals_diagnostics.png
VIOLENCE AGAINST THE PERSON,Good job,36,-0.033756988803988905,-0.05047224882822183,0.9600330125895445,1.1082232975841542,0.5287642622276056,0.4671268530692604,0.5871917074909798,-0.17227037033771003,-0.345341678198237,0.15166125868535418,0.2716881229329562,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\VIOLENCE_AGAINST_THE_PERSON__Good_job__residuals_diagnostics.png
ARSON AND CRIMINAL DAMAGE,Trust MPS,36,-0.6181439799966372,-0.6072097744586425,0.5476311105496589,0.16920680003302704,0.09977418998320653,0.7521007833190152,0.010096576277403,-0.04701822187004672,-1.4366504235826805,0.326303603541871,0.25633042529199257,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\ARSON_AND_CRIMINAL_DAMAGE__Trust_MPS__residuals_diagnostics.png
BURGLARY,Trust MPS,36,-0.5443642486197948,-0.5709993938841734,0.5716484702445843,0.17841635827943497,0.24374796733405057,0.621512144092513,0.2027073015076551,0.0567719608951539,-1.0611624051047437,0.20032035904420187,0.4142801128814897,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\BURGLARY__Trust_MPS__residuals_diagnostics.png
DOMESTIC ABUSE,Trust MPS,36,-0.4559321645636043,-0.5240111703635273,0.6035735954077316,0.5153643315681093,0.15491724527557516,0.693879865751444,0.40553658993035874,0.0737681228310635,-0.5862606299851629,0.1430722466931318,0.19274450811173588,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\DOMESTIC_ABUSE__Trust_MPS__residuals_diagnostics.png
DRUG OFFENCES,Trust MPS,36,-0.30776220221248773,-0.4315406892616045,0.668721951656901,0.4585818606024478,0.0007412605901531144,0.9782793976198083,0.7758929905237659,-0.3322877933661021,-0.40856299615971503,0.14229386468339636,0.22771658320992538,C:\Users\einob\OneDrive - King's College London\AA - Individual Project Files\Data_Visuals\Scrollytelling_draft\data\multi_reg_diagnostics\residual_diagnostics_pngs\crime_type\DRUG_OFFENCES__Trust_MPS__residuals_diagnostics.png
