date,quarter,metric,london_mean,trend,seasonal,residual,heterogeneity,borough_count
2014-10-01,Q3_1415,Fair treatment,0.739688,0.735129,-2.69221e-05,0.00458552,0.00195928,32
2015-01-01,Q4_1415,Fair treatment,0.74625,0.738027,-0.00136709,0.00958975,0.00216719,32
2015-04-01,Q1_1516,Fair treatment,0.738437,0.742109,-1.67717e-05,-0.0036551,0.00220693,32
2015-07-01,Q2_1516,Fair treatment,0.74125,0.742852,0.00141079,-0.00301235,0.00238594,32
2015-10-01,Q3_1516,Fair treatment,0.745312,0.745117,-2.69221e-05,0.000222235,0.00289365,32
2016-01-01,Q4_1516,Fair treatment,0.746563,0.751016,-0.00136709,-0.00308603,0.00254756,32
2016-04-01,Q1_1617,Fair treatment,0.75625,0.75918,-1.67717e-05,-0.00291292,0.00237969,32
2016-07-01,Q2_1617,Fair treatment,0.770625,0.768945,0.00141079,0.000268902,0.00246211,32
2016-10-01,Q3_1617,Fair treatment,0.78125,0.777891,-2.69221e-05,0.0033863,0.00203594,32
2017-01-01,Q4_1617,Fair treatment,0.78875,0.782734,-0.00136709,0.00738272,0.00250469,32
2017-04-01,Q1_1718,Fair treatment,0.785625,0.782383,-1.67717e-05,0.00325896,0.00299961,32
2017-07-01,Q2_1718,Fair treatment,0.78,0.777773,0.00141079,0.000815777,0.0039,32
2017-10-01,Q3_1718,Fair treatment,0.769062,0.772461,-2.69221e-05,-0.00337152,0.0047835,32
2018-01-01,Q4_1718,Fair treatment,0.764062,0.768047,-0.00136709,-0.00261728,0.00543662,32
2018-04-01,Q1_1819,Fair treatment,0.767813,0.765273,-1.67717e-05,0.00255583,0.00537959,32
2018-07-01,Q2_1819,Fair treatment,0.7625,0.764492,0.00141079,-0.00340297,0.0048625,32
2018-10-01,Q3_1819,Fair treatment,0.764375,0.763867,-2.69221e-05,0.000534735,0.00523711,32
2019-01-01,Q4_1819,Fair treatment,0.7625,0.764687,-0.00136709,-0.000820409,0.00565625,32
2019-04-01,Q1_1920,Fair treatment,0.764375,0.767344,-1.67717e-05,-0.00295198,0.00658086,32
2019-07-01,Q2_1920,Fair treatment,0.7725,0.769375,0.00141079,0.00171421,0.0076375,32
2019-10-01,Q3_1920,Fair treatment,0.775625,0.769492,-2.69221e-05,0.00615973,0.00848086,32
2020-01-01,Q4_1920,Fair treatment,0.7675,0.764961,-0.00136709,0.00390615,0.0100438,32
2020-04-01,Q1_2021,Fair treatment,0.760312,0.75375,-1.67717e-05,0.00657927,0.00825303,32
2020-07-01,Q2_2021,Fair treatment,0.740312,0.739141,0.00141079,-0.00023891,0.00722178,32
2020-10-01,Q3_2021,Fair treatment,0.718125,0.722383,-2.69221e-05,-0.00423089,0.00674023,32
2021-01-01,Q4_2021,Fair treatment,0.708125,0.703516,-0.00136709,0.00597647,0.00515273,32
2021-04-01,Q1_2122,Fair treatment,0.685625,0.685703,-1.67717e-05,-6.13533e-05,0.00616836,32
2021-07-01,Q2_2122,Fair treatment,0.664062,0.666836,0.00141079,-0.00418422,0.00673662,32
2021-10-01,Q3_2122,Fair treatment,0.651875,0.647813,-2.69221e-05,0.00408942,0.00777148,32
2022-01-01,Q4_2122,Fair treatment,0.623438,0.634414,-0.00136709,-0.00960947,0.00867881,32
2022-04-01,Q1_2223,Fair treatment,0.618125,0.625898,-1.67717e-05,-0.00775667,0.00786523,32
2022-07-01,Q2_2223,Fair treatment,0.624375,0.624531,0.00141079,-0.00156704,0.00873711,32
2022-10-01,Q3_2223,Fair treatment,0.623437,0.62832,-2.69221e-05,-0.00485589,0.00944131,32
2023-01-01,Q4_2223,Fair treatment,0.640938,0.630625,-0.00136709,0.0116796,0.0100835,32
2023-04-01,Q1_2324,Fair treatment,0.630937,0.630977,-1.67717e-05,-2.22908e-05,0.00981475,32
2023-07-01,Q2_2324,Fair treatment,0.63,0.627305,0.00141079,0.00128453,0.00760625,32
2023-10-01,Q3_2324,Fair treatment,0.620625,0.622578,-2.69221e-05,-0.0019262,0.00631211,32
2024-01-01,Q4_2324,Fair treatment,0.614375,0.620195,-0.00136709,-0.00445322,0.00493711,32
2024-04-01,Q1_2425,Fair treatment,0.619687,0.620742,-1.67717e-05,-0.00103792,0.00392803,32
2024-07-01,Q2_2425,Fair treatment,0.622188,0.62543,0.00141079,-0.00465297,0.00383584,32
2024-10-01,Q3_2425,Fair treatment,0.632812,0.631914,-2.69221e-05,0.00092536,0.00380771,32
2025-01-01,Q4_2425,Fair treatment,0.639687,0.639531,-0.00136709,0.00152334,0.00350928,32
2025-04-01,Q1_2526,Fair treatment,0.64625,0.645742,-1.67717e-05,0.000524584,0.00350469,32
2025-07-01,Q2_2526,Fair treatment,0.656562,0.647656,0.00141079,0.00749546,0.00392881,32
2025-10-01,Q3_2526,Fair treatment,0.648125,0.659648,-2.69221e-05,-0.0114965,0.00434023,32
2026-01-01,Q4_2526,Fair treatment,0.639688,0.666504,-0.00136709,-0.0254493,0.00591553,32
2014-10-01,Q3_1415,Good job,0.6725,0.664762,0.000660104,0.00707818,0.004375,32
2015-01-01,Q4_1415,Good job,0.674375,0.66875,0.000292591,0.00533241,0.00411211,32
2015-04-01,Q1_1516,Good job,0.67,0.673828,-0.00105518,-0.00277294,0.00279375,32
2015-07-01,Q2_1516,Good job,0.676562,0.675508,0.000102487,0.0009522,0.00366631,32
2015-10-01,Q3_1516,Good job,0.67625,0.679883,0.000660104,-0.00429292,0.00432344,32
2016-01-01,Q4_1516,Good job,0.684063,0.685664,0.000292591,-0.00189415,0.00431787,32
2016-04-01,Q1_1617,Good job,0.695312,0.690664,-0.00105518,0.00570362,0.00473115,32
2016-07-01,Q2_1617,Good job,0.6975,0.694414,0.000102487,0.00298345,0.0042,32
2016-10-01,Q3_1617,Good job,0.695312,0.695234,0.000660104,-0.000581979,0.00311865,32
2017-01-01,Q4_1617,Good job,0.695,0.69332,0.000292591,0.0013871,0.00375625,32
2017-04-01,Q1_1718,Good job,0.690937,0.690469,-0.00105518,0.00152393,0.0032835,32
2017-07-01,Q2_1718,Good job,0.686562,0.686523,0.000102487,-6.34248e-05,0.00372256,32
2017-10-01,Q3_1718,Good job,0.683437,0.680117,0.000660104,0.00266021,0.00584756,32
2018-01-01,Q4_1718,Good job,0.675313,0.670859,0.000292591,0.00416053,0.00603115,32
2018-04-01,Q1_1819,Good job,0.659375,0.65918,-0.00105518,0.0012505,0.00664336,32
2018-07-01,Q2_1819,Good job,0.644062,0.645039,0.000102487,-0.00107905,0.00697412,32
2018-10-01,Q3_1819,Good job,0.6325,0.629453,0.000660104,0.00238677,0.00668125,32
2019-01-01,Q4_1819,Good job,0.613125,0.615391,0.000292591,-0.00255822,0.00632148,32
2019-04-01,Q1_1920,Good job,0.596875,0.60375,-0.00105518,-0.00581982,0.00559648,32
2019-07-01,Q2_1920,Good job,0.594063,0.594453,0.000102487,-0.000493112,0.00569287,32
2019-10-01,Q3_1920,Good job,0.589375,0.589609,0.000660104,-0.000894479,0.00556836,32
2020-01-01,Q4_1920,Good job,0.581875,0.586641,0.000292591,-0.00505822,0.00492773,32
2020-04-01,Q1_2021,Good job,0.589375,0.581836,-0.00105518,0.00859425,0.00409336,32
2020-07-01,Q2_2021,Good job,0.577812,0.576484,0.000102487,0.00122564,0.00347959,32
2020-10-01,Q3_2021,Good job,0.567188,0.568359,0.000660104,-0.00183198,0.00330771,32
2021-01-01,Q4_2021,Good job,0.56125,0.556719,0.000292591,0.00423866,0.00312344,32
2021-04-01,Q1_2122,Good job,0.545,0.544492,-0.00105518,0.001563,0.00298125,32
