,ARSON AND CRIMINAL DAMAGE,BURGLARY,DOMESTIC ABUSE,DRUG OFFENCES,FRAUD AND FORGERY,GUN CRIME,HATE CRIME,KNIFE CRIME,LETHAL BARREL DISCHARGE,MISCELLANEOUS,MISCELLANEOUS CRIMES AGAINST SOCIETY,NFIB FRAUD,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,SEXUAL OFFENCES,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON
ARSON AND CRIMINAL DAMAGE,0,0,0,45,0,0,41,19,18,0,0,0,0,10,12,27,0,0,599
BURGLARY,0,0,0,52,19,64,0,529,26,0,0,0,210,0,294,80,1178,17,205
DOMESTIC ABUSE,0,0,0,0,0,0,38,38,18,0,0,0,15,0,12,27,0,0,128
DRUG OFFENCES,45,52,0,0,66,307,32,615,179,15,0,0,722,10,443,402,251,60,390
FRAUD AND FORGERY,0,19,0,66,0,0,0,0,0,0,101,175,0,0,65,32,264,0,64
GUN CRIME,0,64,0,307,0,0,23,465,1776,0,0,0,7775,17,372,53,79,21,1040
HATE CRIME,41,0,38,32,0,23,0,298,46,0,0,0,109,47,61,50,16,0,1914
KNIFE CRIME,19,529,38,615,0,465,298,0,936,21,0,0,13275,42,878,276,199,13,6321
LETHAL BARREL DISCHARGE,18,26,18,179,0,1776,46,936,0,0,0,0,1851,27,347,46,25,0,918
MISCELLANEOUS,0,0,0,15,0,0,0,21,0,0,0,0,0,0,39,0,155,0,0
MISCELLANEOUS CRIMES AGAINST SOCIETY,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,30,350,41
NFIB FRAUD,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POSSESSION OF WEAPONS,0,210,15,722,0,7775,109,13275,1851,0,0,0,0,37,652,125,181,21,4584
PUBLIC ORDER OFFENCES,10,0,0,10,0,17,47,42,27,0,0,0,37,0,0,0,0,0,316
ROBBERY,12,294,12,443,65,372,61,878,347,39,0,0,652,0,0,135,469,16,710
SEXUAL OFFENCES,27,80,27,402,32,53,50,276,46,0,0,0,125,0,135,0,51,0,5555
THEFT,0,1178,0,251,264,79,16,199,25,155,30,0,181,0,469,51,0,531,230
VEHICLE OFFENCES,0,17,0,60,0,21,0,13,0,0,350,0,21,0,16,0,531,0,84
VIOLENCE AGAINST THE PERSON,599,205,128,390,64,1040,1914,6321,918,0,41,0,4584,316,710,5555,230,84,0
