Day,headline,count,Rank_Day,Top_Day,Headline_Source
2015-03-19,"The Gunman, film review: Sean Penn's half-cocked hitman fires wide of",1,1,True,http://www.independent.co.uk/arts-entertainment/films/reviews/the-gunman-film-review-sean-penns-hitman-fires-wide-of-the-target-in-halfcocked-thriller-10121037.html
2015-03-20,"The Gunman, film review: Sean Penn's half-cocked hitman fires wide of",1,1,True,http://www.independent.co.uk/arts-entertainment/films/reviews/the-gunman-film-review-sean-penns-hitman-fires-wide-of-the-target-in-halfcocked-thriller-10121037.html
2015-03-27,Jailed: man who shot police officer through hand with gun he claimed,2,1,True,http://www.standard.co.uk/news/crime/man-who-claimed-he-thought-gun-used-to-shoot-police-officer-through-hand-with-was-toy-jailed-10140008.html
2015-04-07,Banker wins 3.2 million in sexual harassment case,1,1,True,http://www.thetimes.co.uk/tto/law/article4404571.ece?CMP=OTH-gnws-standard-2015_04_07
2015-04-08,Banker wins 3.2 million in sexual harassment case,1,1,True,http://www.thetimes.co.uk/tto/law/article4404571.ece?CMP=OTH-gnws-standard-2015_04_07
2015-04-29,Student's campaign after sex attack,11,1,True,http://www.southendstandard.co.uk/news/national/12919338.Student_s_campaign_after_sex_attack/
2015-04-29,student s campaign after sex attack 1,2,2,True,http://www.daventryexpress.co.uk/news/national/student-s-campaign-after-sex-attack-1-6715141
2015-05-05,OAP rapist may have attacked others,2,1,True,http://www.essexcountystandard.co.uk/news/national/12932343.display/
2015-05-05,appeal in rape drug assault case,2,2,True,http://www.belfasttelegraph.co.uk/news/northern-ireland/appeal-in-rape-drug-assault-case-31195267.html
2015-05-06,Ione Wells spoke out about a sexual assault. Now her attacker has pleaded guilty,2,1,True,http://www.mirror.co.uk/news/uk-news/ione-wells-teenager-who-sexually-5644480
2015-05-25,Police hunt rapist who attacked 13-year-old girl he met the previous day,2,1,True,http://www.mirror.co.uk/news/uk-news/police-hunt-rapist-who-attacked-5762365
2015-05-27,Identity theft rises by a third,5,1,True,http://www.dailymail.co.uk/wires/pa/article-3098667/Identity-theft-rises-third.html
2015-06-01,gun salutes mark queens coronation,1,1,True,http://www.belfasttelegraph.co.uk/news/uk/gun-salutes-mark-queens-coronation-31270427.html
2015-06-02,gun salutes mark queens coronation,1,1,True,http://www.belfasttelegraph.co.uk/news/uk/gun-salutes-mark-queens-coronation-31270427.html
2015-06-17,Gang member from Witham jailed for 8 years for drugs and gun offences,2,1,True,http://www.essexcountystandard.co.uk/news/13337551.display/
2015-06-25,12-year-old boy stabbed eight times in suspected gang attack was,2,1,True,http://www.independent.co.uk/news/uk/home-news/12yearold-boy-stabbed-eight-times-in-suspected-gang-attack-was-getting-his-mum-a-takeaway-10344143.html
2015-06-26,tunisia attack deadly shooting in front of tourist beach hotel live,1,1,True,http://www.telegraph.co.uk/news/worldnews/africaandindianocean/tunisia/11701043/Tunisia-attack-deadly-shooting-in-front-of-tourist-beach-hotel-live.html?frame=3356099
2015-06-27,tunisia attack deadly shooting in front of tourist beach hotel live,8,1,True,http://www.telegraph.co.uk/news/worldnews/africaandindianocean/tunisia/11701043/Tunisia-attack-deadly-shooting-in-front-of-tourist-beach-hotel-live.html?frame=3356099
2015-06-27,tunisia attack shooting 15 british tourists dead live,7,2,True,http://www.telegraph.co.uk/news/worldnews/africaandindianocean/tunisia/11701043/Tunisia-attack-shooting-15-british-tourists-dead-live.html
2015-06-28,tunisia attack shooting 15 british tourists dead live,5,1,True,http://www.telegraph.co.uk/news/worldnews/africaandindianocean/tunisia/11701043/Tunisia-attack-shooting-15-british-tourists-dead-live.html
2015-06-29,tunisia attack shooting gunman tourists victims live,1,1,True,http://www.telegraph.co.uk/news/worldnews/africaandindianocean/tunisia/11701043/Tunisia-attack-shooting-gunman-tourists-victims-live.html
