source_a,source_b,weight
HARWICHANDMANNINGTREESTANDARD.CO.UK,MALDONANDBURNHAMSTANDARD.CO.UK,7
CHESTERSTANDARD.CO.UK,THETOTTENHAMINDEPENDENT.CO.UK,6
BASILDONSTANDARD.CO.UK,MALDONANDBURNHAMSTANDARD.CO.UK,6
CHESTERSTANDARD.CO.UK,WILTSGLOSSTANDARD.CO.UK,6
ENFIELDINDEPENDENT.CO.UK,THETOTTENHAMINDEPENDENT.CO.UK,6
CHESTERSTANDARD.CO.UK,GREENOCKTELEGRAPH.CO.UK,5
CHESTERSTANDARD.CO.UK,MALDONANDBURNHAMSTANDARD.CO.UK,5
CHESTERSTANDARD.CO.UK,WESTERNTELEGRAPH.CO.UK,5
MALDONANDBURNHAMSTANDARD.CO.UK,THETOTTENHAMINDEPENDENT.CO.UK,5
MALDONANDBURNHAMSTANDARD.CO.UK,WESTERNTELEGRAPH.CO.UK,5
THETOTTENHAMINDEPENDENT.CO.UK,WESTERNTELEGRAPH.CO.UK,5
BASILDONSTANDARD.CO.UK,HARWICHANDMANNINGTREESTANDARD.CO.UK,5
ENFIELDINDEPENDENT.CO.UK,YEOVILEXPRESS.CO.UK,5
WILTSGLOSSTANDARD.CO.UK,YEOVILEXPRESS.CO.UK,5
GREENOCKTELEGRAPH.CO.UK,MALDONANDBURNHAMSTANDARD.CO.UK,4
GREENOCKTELEGRAPH.CO.UK,WESTERNTELEGRAPH.CO.UK,4
HARWICHANDMANNINGTREESTANDARD.CO.UK,THETOTTENHAMINDEPENDENT.CO.UK,4
HARWICHANDMANNINGTREESTANDARD.CO.UK,WESTERNTELEGRAPH.CO.UK,4
BASILDONSTANDARD.CO.UK,CHESTERSTANDARD.CO.UK,4
BASILDONSTANDARD.CO.UK,WILTSGLOSSTANDARD.CO.UK,4
BASILDONSTANDARD.CO.UK,YEOVILEXPRESS.CO.UK,4
CHESTERSTANDARD.CO.UK,ENFIELDINDEPENDENT.CO.UK,4
CHESTERSTANDARD.CO.UK,YEOVILEXPRESS.CO.UK,4
ENFIELDINDEPENDENT.CO.UK,WESTERNTELEGRAPH.CO.UK,4
ENFIELDINDEPENDENT.CO.UK,WILTSGLOSSTANDARD.CO.UK,4
GREENOCKTELEGRAPH.CO.UK,WILTSGLOSSTANDARD.CO.UK,4
GREENOCKTELEGRAPH.CO.UK,YEOVILEXPRESS.CO.UK,4
LANCASHIRETELEGRAPH.CO.UK,MALDONANDBURNHAMSTANDARD.CO.UK,4
LANCASHIRETELEGRAPH.CO.UK,WESTERNTELEGRAPH.CO.UK,4
MALDONANDBURNHAMSTANDARD.CO.UK,WILTSGLOSSTANDARD.CO.UK,4
THETOTTENHAMINDEPENDENT.CO.UK,WILTSGLOSSTANDARD.CO.UK,4
WESTERNTELEGRAPH.CO.UK,WILTSGLOSSTANDARD.CO.UK,4
WESTERNTELEGRAPH.CO.UK,YEOVILEXPRESS.CO.UK,4
CHESTERSTANDARD.CO.UK,HARWICHANDMANNINGTREESTANDARD.CO.UK,3
GREENOCKTELEGRAPH.CO.UK,HARWICHANDMANNINGTREESTANDARD.CO.UK,3
GREENOCKTELEGRAPH.CO.UK,THETOTTENHAMINDEPENDENT.CO.UK,3
BASILDONSTANDARD.CO.UK,ENFIELDINDEPENDENT.CO.UK,3
BASILDONSTANDARD.CO.UK,GREENOCKTELEGRAPH.CO.UK,3
BASILDONSTANDARD.CO.UK,LANCASHIRETELEGRAPH.CO.UK,3
BASILDONSTANDARD.CO.UK,WESTERNTELEGRAPH.CO.UK,3
CHESTERSTANDARD.CO.UK,LANCASHIRETELEGRAPH.CO.UK,3
ENFIELDINDEPENDENT.CO.UK,GREENOCKTELEGRAPH.CO.UK,3
ENFIELDINDEPENDENT.CO.UK,LANCASHIRETELEGRAPH.CO.UK,3
ENFIELDINDEPENDENT.CO.UK,MALDONANDBURNHAMSTANDARD.CO.UK,3
GREENOCKTELEGRAPH.CO.UK,LANCASHIRETELEGRAPH.CO.UK,3
HARWICHANDMANNINGTREESTANDARD.CO.UK,LANCASHIRETELEGRAPH.CO.UK,3
HARWICHANDMANNINGTREESTANDARD.CO.UK,WILTSGLOSSTANDARD.CO.UK,3
HARWICHANDMANNINGTREESTANDARD.CO.UK,YEOVILEXPRESS.CO.UK,3
LANCASHIRETELEGRAPH.CO.UK,THETOTTENHAMINDEPENDENT.CO.UK,3
LANCASHIRETELEGRAPH.CO.UK,WILTSGLOSSTANDARD.CO.UK,3
LANCASHIRETELEGRAPH.CO.UK,YEOVILEXPRESS.CO.UK,3
MALDONANDBURNHAMSTANDARD.CO.UK,YEOVILEXPRESS.CO.UK,3
THETOTTENHAMINDEPENDENT.CO.UK,YEOVILEXPRESS.CO.UK,3
BASILDONSTANDARD.CO.UK,THETOTTENHAMINDEPENDENT.CO.UK,2
ENFIELDINDEPENDENT.CO.UK,HARWICHANDMANNINGTREESTANDARD.CO.UK,2
GRIMSBYTELEGRAPH.CO.UK,HULLDAILYMAIL.CO.UK,2
BASILDONSTANDARD.CO.UK,SOUTHENDSTANDARD.CO.UK,1
DERBYTELEGRAPH.CO.UK,GRIMSBYTELEGRAPH.CO.UK,1
DERBYTELEGRAPH.CO.UK,HULLDAILYMAIL.CO.UK,1
BELFASTTELEGRAPH.CO.UK,EVENINGTELEGRAPH.CO.UK,1
ELYSTANDARD.CO.UK,WISBECHSTANDARD.CO.UK,1
