Month,distinct_headline_count,top_headline,top_headline_source_count
12/1/2022,392,Snow and ice hit parts of UK as cold conditions set to continue for days,18
5/1/2022,396,Six-year-old twins found after going missing in south London,16
4/1/2023,590,Man arrested on suspicion of murder after fire at flats in east London,15
3/1/2018,1427,US stocks soar on strong jobs report as inflation fears ease,14
3/1/2023,484,Judges to rule on High Court challenge over sale of energy company Bulb,14
5/1/2023,751,British and Irish governments must deliver plan to restore Stormont – O’Neill,14
6/1/2023,689,The newspaper articles the Duke of Sussex claims involved unlawful activity,14
7/1/2018,1371,Youngest Spitfire pilot to fly in the Battle of Britain dies aged 96,13
4/1/2019,1377,New IRA admits responsibility for death of journalist Lyra McKee,13
11/1/2019,1127,UK buffeted by winds of more than 80mph,13
2/1/2020,1300,Man charged over London mosque stabbing,13
4/1/2020,1461,Tributes paid to three more nurses as NHS death toll rises,13
3/1/2021,844,"Enforcement at vigil for Sarah Everard was necessary, police say",13
9/1/2021,485,Unvaccinated students urged to get Covid shot during freshers’ week,13
10/1/2021,473,Former vaccine chief returns to NHS in renewed drive to deliver booster jabs,13
11/1/2021,406,Downing Street defends PM’s transparency over luxury villa holiday,13
12/1/2021,460,Alleged terrorist to enter plea over Sir David Amess death,13
2/1/2022,441,Government expected to scrap ‘golden visas’ provided to foreign investors,13
3/1/2022,473,Starmer urges action on oligarchs able to ‘sue critics into silence’,13
7/1/2022,404,Government to hold emergency Cobra meeting over extreme heatwave,13
8/1/2022,415,UK and Ukraine kick off talks on digital trade deal to help war-torn country,13
11/1/2022,322,Camilla to host major Buckingham Palace reception to target domestic violence,13
1/1/2023,426,"British man, 33, shot and killed at guest house in St James, Jamaica",13
2/1/2023,391,All Quiet On The Western Front breaks Cinema Paradiso’s foreign Baftas record,13
7/1/2023,640,Archbishop of Canterbury pays tribute to his mother after her death at 93,13
8/1/2023,513,Children’s Day Parade winds through London as part of Notting Hill Carnival,13
9/1/2023,663,Father of Molly Russell calls on Ofcom to ‘boldly’ enforce new online safety law,13
10/1/2023,662,"2.2 million years lost to cancer annually, analysis finds",13
11/1/2023,533,British magician David Berglas dies aged 97,13
1/1/2024,385,Warnings of ‘no more time’ for hostages ahead of 100 days since Hamas attack,13
3/1/2024,427,William and Kate ‘extremely moved’ by public support after cancer announcement,13
10/1/2016,710,"Donald Trump comments offensive, says Cabinet minister Damian Green",12
11/1/2016,660,CPS 'failing to help Asian honour crimes victims over unrest fears',12
12/1/2016,582,"I planned my babies around Big Brother, says Davina McCall",12
12/1/2017,982,UK urged to accept EU laws during transition agreement,12
2/1/2018,1039,Government urged to ban sale of corrosive liquids to children,12
4/1/2018,1323,"40,000 runners face hottest London Marathon on record",12
5/1/2018,1214,British fugitive arrested outside Barcelona gym,12
6/1/2018,1321,All-female IS terror cell face jail over Westminster knife plot,12
8/1/2018,1295,Britain to swelter for two more days before heatwave eases,12
9/1/2018,1458,From lectures to lock-up: Graduates join fight to reform jails,12
10/1/2018,1475,Julian Assange’s communications partly restored by Ecuadorian government,12
11/1/2018,1379,Brexit live: May defiant as Rees-Mogg declares no confidence in PM,12
12/1/2018,920,Christmas getaway drivers warned of delays,12
1/1/2019,1079,Holocaust survivor praises courageous parents in Second World War,12
2/1/2019,1220,CCTV footage shows drink driver hit police car in wrong-way M4 crash,12
3/1/2019,1384,10m of uninsured cars saved from crusher_20527fbae9d2ee73931bf2204686e45d,12
5/1/2019,1324,Alleged rapist Joseph McCann to be forced to appear in front of judge,12
6/1/2019,1422,Hundreds of Smileys to feature in new art exhibition by Fatboy Slim,12
7/1/2019,1270,"Boris Johnson promises 20,000 extra police within three years as PM",12
8/1/2019,1240,Thousands of rail passengers overcharged for not having valid ticket,12
3/1/2020,1541,Coronavirus: Latest updates from around the world,12
5/1/2020,1174,120mph 20 uks worst speeding offences revealed,12
6/1/2020,1348,heres how shared ownership scheme works when buying property and who can apply,12
1/1/2021,1103,Boris Johnson to host world leaders at G7 summit in Cornwall,12
4/1/2022,392,Boris Becker could be jailed as he faces bankruptcy sentencing,12
9/1/2022,664,Queen’s grandchildren to hold vigil at her coffin with Duke of Sussex in uniform,12
2/1/2024,457,Councils call for pavement parking to be banned across England,12
4/1/2024,423,Brixton Academy opens doors again more than a year after fatal crush,12
5/1/2024,450,More than £28.7m lost to courier scams which target the elderly,12
7/1/2024,383,"John Mayall, influential British blues pioneer, dies aged 90",12
8/1/2024,436,More than 100 arrests in London after unrest in response to Southport attack,12
11/1/2024,389,Former deputy prime minister John Prescott dies aged 86,12
7/1/2015,713,"Man killed, woman hurt in shooting",11
9/1/2016,751,Hate preacher Anjem Choudary jailed for five and a half years for IS support,11
1/1/2017,705,Scorpion provides sting in the tail for delayed rail passengers,11
2/1/2017,603,Several academy bosses earning more than the Prime Minister,11
3/1/2017,854,Charles leads tributes to Gurkhas at Buckingham Palace ceremony,11
4/1/2017,698,Britain sees first coal-free day since Industrial Revolution,11
5/1/2017,825,Pair held after man stabbed to death in south-east London,11
6/1/2017,1383,At least 12 dead in Grenfell Tower inferno,11
8/1/2017,772,Carnival goers pay silent tribute to Grenfell fire victims,11
9/1/2017,1117,Third arrest in Parsons Green train bomb probe,11
10/1/2017,1149,Michael Gove apologises following backlash to Harvey Weinstein joke,11
11/1/2017,1165,Britain First deputy leader arrested over speech at Belfast rally,11
1/1/2018,1157,Acid attacker Arthur Collins to face judge over smuggled mobile phone,11
9/1/2019,1308,Boris Johnson arrives at Tory party conference facing a series of challenges,11
10/1/2019,1414,Actor James Franco sued by two former students for alleged sexual misconduct,11
12/1/2019,1063,A decade in numbers,11
1/1/2020,1462,Britons urged to leave Chinese province at heart of coronavirus outbreak,11
7/1/2020,1176,Amber Heard continues evidence in Johnny Depp ‘wife beater’ libel trial,11
8/1/2020,866,Britons bask in another hot day before severe thunderstorms strike,11
9/1/2020,1191,10 people arrested at central London anti-lockdown demonstrations,11
10/1/2020,1015,Boris Johnson in telephone talks with Cabinet as new Covid regulations loom,11
11/1/2020,980,Archbishop of Canterbury to take a sabbatical in 2021 for ‘spiritual renewal’,11
12/1/2020,1587,A Christmas Day unlike any other as Covid-19 keeps loved ones apart,11
2/1/2021,647,Campaigners renew IRA Docklands bomb compensation call on blast anniversary,11
4/1/2021,610,What happens next following the death of the Duke of Edinburgh?,11
6/1/2021,380,Met Police accused of ‘institutional corruption’ over Daniel Morgan murder,11
