Month,distinct_headline_count,top_headline,top_headline_source_count
2015-03-01,46,Drug reform no longer taboo: Clegg,4
2015-04-01,51,Sex offender wins compensation bid,8
2015-05-01,51,Six face terror fraud charges,9
2015-06-01,52,Ex is charged over lost baby attack,9
2015-07-01,48,"Man killed, woman hurt in shooting",11
2015-08-01,40,Murder probe as pensioner stabbed to death and children injured,9
2015-09-01,43,East London cereal cafe suffers 'terrifying' attack by activists,9
2015-10-01,37,Child killer and rapist Robert Howard dies in prison,9
2015-11-01,72,Brother's tribute to 'lovely' teenager stabbed to death in Holloway,9
2015-12-01,86,Fake ambulance drug smugglers to be sentenced,10
2016-01-01,40,Abortion approved for woman badly injured in attack,8
2016-02-01,39,Man 'planned attack similar to Lee Rigby on US soldiers in UK',10
2016-03-01,42,"British soldier will not be charged over 1972 shooting, prosecutors say",8
2016-04-01,37,GlaxoSmithKline profits provide shot in arm for FTSE 100,10
2016-05-01,57,Cleric facing historical sex assault allegation arrested in Kosovo,9
2016-06-01,58,'Racist' abuse scrawled on Polish cultural centre,9
2016-07-01,56,"Boy, 4, critical after hit and run",9
2016-08-01,88,Murder probe launched after teenager stabbed to death near house party,10
2016-09-01,73,'Policeman car attack footage' probed by Scotland Yard,10
2016-10-01,62,Jail terms for Britons caught in people smuggling boat scheme,11
2016-11-01,51,'Hound of Hounslow' pleads guilty in US court to 'flash crash' fraud,11
2016-12-01,58,London usurped by Belgium's Antwerp as 'cocaine capital' of Europe,11
2017-01-01,64,"Boy, 15, arrested after teenager stabbed in area where children heading home",10
2017-02-01,56,Marine who shot injured Afghan fighter 'was suffering recognised mental illness',10
2017-03-01,143,How the Westminster terror attack unfolded,11
2017-04-01,106,Man who raped woman hours before his wedding jailed for life,11
2017-05-01,85,Pair held after man stabbed to death in south-east London,11
2017-06-01,164,French national among those killed in London terror attack,11
2017-07-01,42,Teenager charged over suspected acid attack,10
2017-08-01,64,"Bus suitcase mix-up led to drugs worth £6,500 being discovered",9
2017-09-01,125,Man stabbed in ‘mass brawl’ at London shopping centre,9
2017-10-01,102,Man arrested as murder probe launched over Parsons Green Tube Station stabbing,10
2017-11-01,106,Heathrow security worker charged with conspiring to import drugs,11
2017-12-01,92,Queen pays tribute to terror attack survivors in Christmas message,11
2018-01-01,148,Black cab rapist to be freed after ‘woefully short’ prison term,10
2018-02-01,115,Murder inquiries launched after two fatal stabbings in Camden,12
2018-03-01,180,Mayor admits anti-knife campaign used fake celebrity tweets,12
2018-04-01,214,Abuse and intimidation reported among hospital protesters,12
2018-05-01,124,Shootings and stabbings mark violent bank holiday weekend,12
2018-06-01,174,All-female IS terror cell face jail over Westminster knife plot,12
2018-07-01,124,Man fatally shot as neighbours describe gunshots ringing out,12
2018-08-01,166,Knife arches to be placed around Notting Hill Carnival for first time,12
2018-09-01,197,Teenager rushed to hospital in critical condition after shooting,12
2018-10-01,119,Police officers suffer knife wounds after north London ‘fight’,11
2018-11-01,132,Second teenager stabbed to death in 24 hours named as college student,12
2018-12-01,95,Man shot during police operation outside supermarket,12
2019-01-01,118,Father urges ex-partner missing with his three-year-old son to see sense,11
2019-02-01,126,Maajid Nawaz injured in ‘racially motivated’ assault,11
2019-03-01,171,15-year-old charged with murder over teenager’s stab death,11
2019-04-01,135,Murder investigation after man stabbed in London,12
2019-05-01,136,Alleged rapist Joseph McCann to be forced to appear in front of judge,12
2019-06-01,140,Two fatal stabbings and man shot dead in 24 hours of London violence,12
2019-07-01,114,Killer who fatally knifed train passenger in aisle row ‘doesn’t deserve to live’,11
2019-08-01,125,"British mother dies after being set alight in Barbados, family say",11
2019-09-01,119,Man charged with murder after stabbing in Brixton,11
2019-10-01,114,"Friends tried to save schoolboy, 15, stabbed to death outside shopping centre",11
2019-11-01,121,General Election campaign: Activity on hold as leaders reflect on terror attack,11
2019-12-01,115,Anti-Semitic graffiti daubed on shop fronts condemned as ‘senseless’,11
2020-01-01,132,Corbyn urges more protection for delivery drivers after fatal stabbing,10
2020-02-01,126,Man charged over London mosque stabbing,13
2020-03-01,54,How to spot and avoid Covid-19 fraud,11
2020-04-01,44,Baby and three-year-old boy stabbed to death in Ilford,11
2020-05-01,35,South-east London tower-block blaze brought under control,11
2020-06-01,134,Anti-racism protests set to continue over the weekend,11
2020-07-01,90,"Around 5,000 fewer heart attack admissions to English hospitals ‘due to Covid’",9
2020-08-01,59,‘Conservative ex-minister arrested over rape accusation’,10
2020-09-01,73,Met officer shot dead was ‘long-serving sergeant’,10
2020-10-01,37,Police officer stabbed while trying to arrest attempted robbery suspects,7
2020-11-01,48,Victims remembered one year on from Fishmongers’ Hall attack,11
2020-12-01,46,Ministers unveil funding to help homeless with drug and alcohol problems,11
2021-01-01,35,Public warned over Covid-19 cons amid rising vaccine fraud reports,9
2021-02-01,35,Mourners hold street vigil for teenager stabbed to death in Parsons Green,11
2021-03-01,54,Man charged with murder after fatal stabbing of law student,10
2021-04-01,56,Drugs used against ovarian cancer offer hope in tackling other forms of disease,10
2021-05-01,55,Applause at vigil for ‘flower man of Islington’ after stab death,10
2021-06-01,49,Murder probe under way after teenager stabbed to death,10
2021-07-01,48,Jewish man ‘threatened with punches’ while on his way home in central London,10
2021-08-01,51,Man injured in Wood Green knife attack a social worker,10
2021-09-01,41,Unvaccinated students urged to get Covid shot during freshers’ week,13
2021-10-01,59,Sir David Amess stabbing: What we know so far,12
2021-11-01,40,Fishmongers’ Hall attack victims continue to inspire people two years on – mayor,10
2021-12-01,36,Mother and son guilty over machete attack on boy,10
2022-01-01,41,"Two teenagers charged with manslaughter and arson over fire death of woman, 88",10
2022-02-01,43,Teenager charged with murder of 18-year-old stab victim in north London,10
2022-03-01,37,British journalist shot and wounded in ambush near Ukrainian capital,10
2022-04-01,40,Kevin Spacey asks judge to axe Anthony Rapp’s sex abuse suit,10
2022-05-01,35,"Anti-racism plan not about being ‘woke or politically correct’, police insist",10
2022-06-01,39,Suspected terror-linked shooting in Oslo kills two and wounds 10,10
2022-07-01,31,Firefighters battle Trafalgar Square pub blaze,10
2022-08-01,48,Sir Salman Rushdie ‘on a ventilator and could lose an eye’ after New York attack,11
2022-09-01,28,Burglary ‘too serious’ for police not to attend – new Met chief,10
2022-10-01,34,Kevin Spacey to appear in US court to face allegations of sexual assault,11
2022-11-01,38,Camilla to host major Buckingham Palace reception to target domestic violence,13
2022-12-01,35,"Braverman’s ‘crazy rhetoric’ on migrants stoking racism, outgoing adviser says",12
2023-01-01,70,"British man, 33, shot and killed at guest house in St James, Jamaica",13
2023-02-01,46,Former Met officer and prolific rapist David Carrick facing jail for sex attacks,12
2023-03-01,55,Five people charged over fatal shooting of 24-year-old man in south-east London,12
2023-04-01,53,Research finds UK is far from a ‘racially just society’,15
2023-05-01,85,Three stabbed to death on eve of coronation in separate attacks in east London,14
2023-06-01,81,Appeal for information as potentially homeless vulnerable man stabbed to death,13
2023-07-01,79,Inquests into deaths of Nottingham attack victims to open,13
2023-08-01,94,"Security guard stabbed rapper to death at party attended by hundreds, jury hears",13
2023-09-01,89,Russell Brand faces allegations of rape and sexual assault at height of fame,13
2023-10-01,92,"Sunak promises to ‘stand with’ Israel and British Jews, a week on from attack",12
2023-11-01,80,Jewish media outlets unite to combat antisemitism,12
2023-12-01,67,"Boy, 16, arrested on suspicion of murder after woman stabbed on Christmas Eve",11
2024-01-01,66,Warnings of ‘no more time’ for hostages ahead of 100 days since Hamas attack,13
2024-02-01,94,How the Clapham alkali attack and manhunt for suspect Abdul Ezedi has unfolded,12
2024-03-01,61,Murder investigation launched after man shot dead,11
2024-04-01,83,About 80 firefighters called to battle blaze at historic London pub,11
2024-05-01,80,Met Police report increased robbery response after nixing mental health callouts,11
2024-06-01,57,Idris Elba and Keir Starmer meet families of knife crime victims,9
2024-07-01,52,15-year-old boy shot dead at ‘family fun day’ in west London named by police,11
2024-08-01,78,More than 100 arrests in London after unrest in response to Southport attack,12
2024-09-01,65,Gallery manager ‘horrified’ by theft of Banksy artwork,9
2024-10-01,77,Mother tells of ‘absolute contempt’ for predator who raped and killed daughter,10
2024-11-01,46,Man ‘stabbed’ on Westminster Bridge actually suffered cardiac arrest – police,10
2024-12-01,32,"Crying and screaming heard from scene of fatal shooting, neighbours say",10
2025-01-01,67,Police hunt killer after 14-year-old stabbed to death on London bus,11
2025-02-01,67,"Kent pub shooting suspect ‘may have entered river’, police say",10
2025-03-01,56,Man to stand trial accused of raping ex-partner during triple murder incident,10
2025-04-01,57,Russell Brand charged with rape and sexual assault,11
2025-05-01,52,"Man, 87, who died after being robbed ‘would do anything for anyone’",10
2025-06-01,24,Abbott calls Starmer’s immigration comments ‘fundamentally racist’ at rally,10
2025-07-01,69,Chris Brown due to appear in court over alleged ‘bottle attack’ charge,10
2025-08-01,69,Gang bundled pregnant woman into van and threatened to cut her fingers off,11
2025-09-01,49,Passengers facing another day of disruption after check-in system ‘cyber attack’,10
2025-10-01,115,Four arrested over synagogue terror attack remain in custody,11
2025-11-01,91,Train hero fights for life as knife attack suspect remains in police custody,11
2025-12-01,64,At least 12 dead in antisemitic terrorist attack at Bondi Beach – police,10
2026-01-01,28,Homicides at lowest level for more than 40 years as knife crime falls,9
2026-02-01,40,Camilla left ‘speechless’ by French rape survivor Gisele Pelicot’s memoir,10
2026-03-01,13,Four arrested on suspicion of spying on Jewish community for Iran,9
