date,crime_type,crime_count,headline_count,crime_z,headline_z,divergence
3/1/2015,LETHAL BARREL DISCHARGE,19,44,-0.268583662,-0.353656751,-0.085073089
3/1/2015,GUN CRIME,211,24,0.399544005,0.231187219,-0.168356786
3/1/2015,KNIFE CRIME,1528,81,-0.658964132,-0.689370464,-0.030406332
3/1/2015,MISCELLANEOUS,2599,0,-0.736076341,-0.436446594,0.299629747
3/1/2015,HATE CRIME,3891,32,-1.513924732,-0.516161754,0.997762977
3/1/2015,DOMESTIC ABUSE,7703,5,-1.795828724,-0.185909231,1.609919493
4/1/2015,LETHAL BARREL DISCHARGE,24,51,0.213115297,-0.116860491,-0.329975788
4/1/2015,GUN CRIME,181,11,-0.154251676,-0.858695385,-0.70444371
4/1/2015,KNIFE CRIME,1456,46,-0.920382303,-1.042972279,-0.122589976
4/1/2015,MISCELLANEOUS,2581,0,-0.747275863,-0.436446594,0.310829269
4/1/2015,HATE CRIME,3891,20,-1.513924732,-0.859114866,0.654809865
4/1/2015,DOMESTIC ABUSE,7374,1,-2.209997643,-1.03947509,1.170522552
5/1/2015,LETHAL BARREL DISCHARGE,22,19,0.020435713,-1.199357676,-1.219793389
5/1/2015,GUN CRIME,208,11,0.344164437,-0.858695385,-1.202859822
5/1/2015,KNIFE CRIME,1586,28,-0.448377272,-1.224824641,-0.776447368
5/1/2015,MISCELLANEOUS,2829,0,-0.592971335,-0.436446594,0.156524741
5/1/2015,HATE CRIME,4149,27,-1.269974164,-0.659058884,0.61091528
5/1/2015,DOMESTIC ABUSE,8348,2,-0.983856225,-0.826083625,0.157772599
6/1/2015,LETHAL BARREL DISCHARGE,15,31,-0.653942829,-0.793421232,-0.139478403
6/1/2015,GUN CRIME,179,34,-0.191171388,1.069558453,1.260729841
6/1/2015,KNIFE CRIME,1624,106,-0.310406571,-0.436797739,-0.126391168
6/1/2015,MISCELLANEOUS,2139,0,-1.022286352,-0.436446594,0.585839758
6/1/2015,HATE CRIME,4156,23,-1.26335535,-0.773376588,0.489978762
6/1/2015,DOMESTIC ABUSE,8232,3,-1.129885387,-0.612692161,0.517193227
7/1/2015,LETHAL BARREL DISCHARGE,22,63,0.020435713,0.289075953,0.268640239
7/1/2015,GUN CRIME,200,19,0.196485589,-0.187998398,-0.384483987
7/1/2015,KNIFE CRIME,1275,61,-1.577558537,-0.891428644,0.686129893
7/1/2015,MISCELLANEOUS,2077,1,-1.060862484,0.492762283,1.553624767
7/1/2015,HATE CRIME,4330,23,-1.098830548,-0.773376588,0.32545396
7/1/2015,DOMESTIC ABUSE,8863,2,-0.335537097,-0.826083625,-0.490546528
8/1/2015,LETHAL BARREL DISCHARGE,22,48,0.020435713,-0.218344603,-0.238780316
8/1/2015,GUN CRIME,185,28,-0.080412252,0.566535713,0.646947964
8/1/2015,KNIFE CRIME,1582,60,-0.462900504,-0.901531553,-0.438631049
8/1/2015,MISCELLANEOUS,1997,1,-1.110638138,0.492762283,1.603400422
8/1/2015,HATE CRIME,4330,25,-1.098830548,-0.716217736,0.382612812
8/1/2015,DOMESTIC ABUSE,8539,4,-0.743411655,-0.399300696,0.344110959
9/1/2015,LETHAL BARREL DISCHARGE,22,54,0.020435713,-0.01537638,-0.035812094
9/1/2015,GUN CRIME,170,16,-0.357310092,-0.439509768,-0.082199676
9/1/2015,KNIFE CRIME,1375,121,-1.214477744,-0.285254105,0.92922364
9/1/2015,MISCELLANEOUS,2039,0,-1.08450592,-0.436446594,0.648059326
9/1/2015,HATE CRIME,3937,19,-1.470429669,-0.887694292,0.582735377
9/1/2015,DOMESTIC ABUSE,7618,4,-1.902832852,-0.399300696,1.503532156
10/1/2015,LETHAL BARREL DISCHARGE,13,63,-0.846622412,0.289075953,1.135698365
10/1/2015,GUN CRIME,197,29,0.141106021,0.650372836,0.509266815
10/1/2015,KNIFE CRIME,1495,83,-0.778780794,-0.669164646,0.109616147
10/1/2015,MISCELLANEOUS,2149,1,-1.016064395,0.492762283,1.508826679
10/1/2015,HATE CRIME,4387,51,-1.044934493,0.02684734,1.071781832
10/1/2015,DOMESTIC ABUSE,8322,5,-1.016586899,-0.185909231,0.830677668
11/1/2015,LETHAL BARREL DISCHARGE,13,68,-0.846622412,0.458216138,1.30483855
11/1/2015,GUN CRIME,209,19,0.362624293,-0.187998398,-0.550622691
11/1/2015,KNIFE CRIME,1463,107,-0.894966647,-0.42669483,0.468271817
11/1/2015,MISCELLANEOUS,2321,0,-0.909046739,-0.436446594,0.472600145
11/1/2015,HATE CRIME,4725,31,-0.725340338,-0.54474118,0.180599158
