quarter,date,Good_job_residual,Trust_MPS_residual,Fair_treatment_residual
Q1_1516,4/1/2015,-0.013797214,,-0.019723365
Q1_1617,4/1/2016,0.013299586,-0.003179502,-0.000948942
Q1_1718,4/1/2017,0.141003426,0.099733664,0.093101728
Q1_1819,4/1/2018,0.10817684,0.074011847,0.073982417
Q1_1920,4/1/2019,0.058503057,0.059702616,0.076108759
Q1_2021,4/1/2020,0.014214325,0.036136761,0.053596298
Q1_2122,4/1/2021,-0.007149252,0.00834388,-0.00929969
Q1_2223,4/1/2022,-0.053471998,-0.054269021,-0.073711595
Q1_2324,4/1/2023,-0.04461122,-0.068114214,-0.054010539
Q1_2425,4/1/2024,-0.053517452,-0.054450606,-0.06388245
Q1_2526,4/1/2025,-0.076913717,-0.023358442,-0.035815794
Q2_1516,7/1/2015,-0.007558774,,-0.017304307
Q2_1617,7/1/2016,0.018541407,0.004660348,0.014917566
Q2_1718,7/1/2017,0.138828039,0.092720537,0.08870329
Q2_1819,7/1/2018,0.095745427,0.069568666,0.069354293
Q2_1920,7/1/2019,0.060110835,0.069451687,0.087064656
Q2_2021,7/1/2020,0.036277395,0.044854431,0.050441413
Q2_2122,7/1/2021,-0.019132379,-0.002637219,-0.028929084
Q2_2223,7/1/2022,-0.044382386,-0.062377421,-0.067751479
Q2_2324,7/1/2023,-0.048655841,-0.068997218,-0.053686103
Q2_2425,7/1/2024,-0.060887887,-0.044026035,-0.059410144
Q2_2526,7/1/2025,-0.067764491,-0.022743911,-0.026236794
Q3_1516,10/1/2015,-0.006795666,,-0.012611751
Q3_1617,10/1/2016,0.012892334,0.007507377,0.023924559
Q3_1718,10/1/2017,0.132371686,0.085623865,0.075256996
Q3_1819,10/1/2018,0.087135858,0.068211136,0.072440168
Q3_1920,10/1/2019,0.055660477,0.068266207,0.089999716
Q3_2021,10/1/2020,0.010060743,0.021347429,0.020662835
Q3_2122,10/1/2021,-0.02734675,-0.010694517,-0.040088214
Q3_2223,10/1/2022,-0.054332428,-0.070249632,-0.068524656
Q3_2324,10/1/2023,-0.048290314,-0.073449629,-0.062275991
Q3_2425,10/1/2024,-0.063618926,-0.034358564,-0.047848794
Q3_2526,10/1/2025,-0.082719737,-0.050137965,-0.039655611
Q4_1415,1/1/2015,-0.012147691,,-0.013213066
Q4_1516,1/1/2016,-0.001263837,-0.012432951,-0.012619183
Q4_1617,1/1/2017,0.012819595,0.008617483,0.031702231
Q4_1718,1/1/2018,0.113536094,0.070654841,0.064605513
Q4_1819,1/1/2019,0.067409331,0.059473923,0.070556882
Q4_1920,1/1/2020,0.034929199,0.054136708,0.07481989
Q4_2021,1/1/2021,-0.016572534,0.00260981,0.000823133
Q4_2122,1/1/2022,-0.058515719,-0.047350533,-0.072020541
Q4_2223,1/1/2023,-0.045253392,-0.063890163,-0.051145903
Q4_2324,1/1/2024,-0.055693109,-0.070532644,-0.071608146
Q4_2425,1/1/2025,-0.08437122,-0.034456747,-0.048633633
Q4_2526,1/1/2026,-0.156751719,-0.113364092,-0.081106569
