borough,quarter,date,Good_job_residual,Trust_MPS_residual,Fair_treatment_residual
Barking and Dagenham,Q1_1516,4/1/2015,-0.069985753,,-0.032288111
Barking and Dagenham,Q1_1617,4/1/2016,0.033725282,-0.026865876,-0.00494406
Barking and Dagenham,Q1_1718,4/1/2017,0.155921305,0.114135754,0.133554403
Barking and Dagenham,Q1_1819,4/1/2018,0.053047037,0.03770627,0.108117355
Barking and Dagenham,Q1_1920,4/1/2019,0.063043094,0.032686475,0.040785259
Barking and Dagenham,Q1_2021,4/1/2020,0.074495804,0.058429793,0.028729196
Barking and Dagenham,Q1_2122,4/1/2021,-0.046933641,0.017704036,-0.063428105
Barking and Dagenham,Q1_2223,4/1/2022,-0.043311724,-0.040487158,-0.021898501
Barking and Dagenham,Q1_2324,4/1/2023,0.011129413,-0.063287056,-0.047353354
Barking and Dagenham,Q1_2425,4/1/2024,-0.080117852,-0.04889212,-0.080549668
Barking and Dagenham,Q1_2526,4/1/2025,-0.058057085,-0.007874846,-0.021232987
Barking and Dagenham,Q2_1516,7/1/2015,-0.069689414,,-0.032162961
Barking and Dagenham,Q2_1617,7/1/2016,0.087742317,-0.014859746,-0.00324759
Barking and Dagenham,Q2_1718,7/1/2017,0.130893209,0.106618752,0.155654132
Barking and Dagenham,Q2_1819,7/1/2018,0.053508008,0.017936482,0.088312031
Barking and Dagenham,Q2_1920,7/1/2019,0.05816997,0.050252808,0.068727246
Barking and Dagenham,Q2_2021,7/1/2020,0.078565088,0.060450132,0.008894112
Barking and Dagenham,Q2_2122,7/1/2021,-0.07476049,-0.021210681,-0.062510343
Barking and Dagenham,Q2_2223,7/1/2022,-0.017921436,-0.022789275,-0.01384527
Barking and Dagenham,Q2_2324,7/1/2023,-0.002449916,-0.080080535,-0.074641783
Barking and Dagenham,Q2_2425,7/1/2024,-0.080667941,-0.03417278,-0.046558791
Barking and Dagenham,Q2_2526,7/1/2025,-0.038988689,-0.013334152,-0.025849611
Barking and Dagenham,Q3_1516,10/1/2015,-0.027558852,,-0.035486374
Barking and Dagenham,Q3_1617,10/1/2016,0.07214481,0.002344826,0.024388476
Barking and Dagenham,Q3_1718,10/1/2017,0.064890922,0.088627117,0.128896062
Barking and Dagenham,Q3_1819,10/1/2018,0.077788456,0.030074162,0.080119746
Barking and Dagenham,Q3_1920,10/1/2019,0.039289471,0.050811894,0.039200033
Barking and Dagenham,Q3_2021,10/1/2020,0.007633484,0.044990826,-0.035722512
Barking and Dagenham,Q3_2122,10/1/2021,-0.01769095,-0.012674169,-0.023747932
Barking and Dagenham,Q3_2223,10/1/2022,-0.036947245,-0.052314643,-0.02498747
Barking and Dagenham,Q3_2324,10/1/2023,-0.03258734,-0.080125397,-0.09159258
Barking and Dagenham,Q3_2425,10/1/2024,-0.060855839,-0.02927256,-0.032414954
Barking and Dagenham,Q3_2526,10/1/2025,-0.052413047,-0.025044296,-0.027295782
Barking and Dagenham,Q4_1415,1/1/2015,-0.115813746,,-0.054749383
Barking and Dagenham,Q4_1516,1/1/2016,-0.00275158,-0.045106401,-0.023456172
