date,quarter,borough,metric,crime_count,population_2021,crime_per_100k,perception_value,crime_bin,perc_bin,color
4/1/2015,Q1_1516,Barking and Dagenham,Good job,1499,218869,684.8845657,0.61,high,low,#5ac8c8
4/1/2015,Q1_1516,Barking and Dagenham,Fair treatment,1499,218869,684.8845657,0.76,high,med,#5698b9
4/1/2016,Q1_1617,Barking and Dagenham,Good job,1308,218869,597.6177531,0.72,med,med,#a5add3
4/1/2016,Q1_1617,Barking and Dagenham,Trust MPS,1308,218869,597.6177531,0.85,med,low,#ace4e4
4/1/2016,Q1_1617,Barking and Dagenham,Fair treatment,1308,218869,597.6177531,0.79,med,high,#8c62aa
4/1/2017,Q1_1718,Barking and Dagenham,Good job,6234,218869,2848.279108,0.68,med,med,#a5add3
4/1/2017,Q1_1718,Barking and Dagenham,Trust MPS,6234,218869,2848.279108,0.91,med,high,#8c62aa
4/1/2017,Q1_1718,Barking and Dagenham,Fair treatment,6234,218869,2848.279108,0.86,med,high,#8c62aa
4/1/2018,Q1_1819,Barking and Dagenham,Good job,5843,218869,2669.633434,0.59,med,low,#ace4e4
4/1/2018,Q1_1819,Barking and Dagenham,Trust MPS,5843,218869,2669.633434,0.84,med,low,#ace4e4
4/1/2018,Q1_1819,Barking and Dagenham,Fair treatment,5843,218869,2669.633434,0.84,med,high,#8c62aa
4/1/2019,Q1_1920,Barking and Dagenham,Good job,6754,218869,3085.864147,0.57,med,low,#ace4e4
4/1/2019,Q1_1920,Barking and Dagenham,Trust MPS,6754,218869,3085.864147,0.82,med,low,#ace4e4
4/1/2019,Q1_1920,Barking and Dagenham,Fair treatment,6754,218869,3085.864147,0.76,med,med,#a5add3
4/1/2020,Q1_2021,Barking and Dagenham,Good job,5887,218869,2689.736783,0.61,med,med,#a5add3
4/1/2020,Q1_2021,Barking and Dagenham,Trust MPS,5887,218869,2689.736783,0.86,med,med,#a5add3
4/1/2020,Q1_2021,Barking and Dagenham,Fair treatment,5887,218869,2689.736783,0.76,med,med,#a5add3
4/1/2021,Q1_2122,Barking and Dagenham,Good job,6344,218869,2898.537481,0.47,med,low,#ace4e4
4/1/2021,Q1_2122,Barking and Dagenham,Trust MPS,6344,218869,2898.537481,0.81,med,med,#a5add3
4/1/2021,Q1_2122,Barking and Dagenham,Fair treatment,6344,218869,2898.537481,0.66,med,low,#ace4e4
4/1/2022,Q1_2223,Barking and Dagenham,Good job,6452,218869,2947.882066,0.47,med,low,#ace4e4
4/1/2022,Q1_2223,Barking and Dagenham,Trust MPS,6452,218869,2947.882066,0.75,med,med,#a5add3
4/1/2022,Q1_2223,Barking and Dagenham,Fair treatment,6452,218869,2947.882066,0.7,med,high,#8c62aa
4/1/2023,Q1_2324,Barking and Dagenham,Good job,7401,218869,3381.474763,0.49,med,med,#a5add3
4/1/2023,Q1_2324,Barking and Dagenham,Trust MPS,7401,218869,3381.474763,0.71,med,med,#a5add3
4/1/2023,Q1_2324,Barking and Dagenham,Fair treatment,7401,218869,3381.474763,0.66,med,med,#a5add3
4/1/2024,Q1_2425,Barking and Dagenham,Good job,6496,218869,2967.985416,0.43,med,low,#ace4e4
4/1/2024,Q1_2425,Barking and Dagenham,Trust MPS,6496,218869,2967.985416,0.74,med,med,#a5add3
4/1/2024,Q1_2425,Barking and Dagenham,Fair treatment,6496,218869,2967.985416,0.64,med,med,#a5add3
4/1/2025,Q1_2526,Barking and Dagenham,Good job,7153,218869,3268.164975,0.43,med,low,#ace4e4
4/1/2025,Q1_2526,Barking and Dagenham,Trust MPS,7153,218869,3268.164975,0.77,med,high,#8c62aa
4/1/2025,Q1_2526,Barking and Dagenham,Fair treatment,7153,218869,3268.164975,0.69,med,high,#8c62aa
7/1/2015,Q2_1516,Barking and Dagenham,Good job,1508,218869,688.9966144,0.61,high,low,#5ac8c8
7/1/2015,Q2_1516,Barking and Dagenham,Fair treatment,1508,218869,688.9966144,0.76,high,med,#5698b9
7/1/2016,Q2_1617,Barking and Dagenham,Good job,1430,218869,653.3588585,0.77,med,high,#8c62aa
7/1/2016,Q2_1617,Barking and Dagenham,Trust MPS,1430,218869,653.3588585,0.86,med,low,#ace4e4
7/1/2016,Q2_1617,Barking and Dagenham,Fair treatment,1430,218869,653.3588585,0.79,med,med,#a5add3
7/1/2017,Q2_1718,Barking and Dagenham,Good job,6385,218869,2917.270148,0.65,med,low,#ace4e4
7/1/2017,Q2_1718,Barking and Dagenham,Trust MPS,6385,218869,2917.270148,0.9,med,high,#8c62aa
7/1/2017,Q2_1718,Barking and Dagenham,Fair treatment,6385,218869,2917.270148,0.88,med,high,#8c62aa
7/1/2018,Q2_1819,Barking and Dagenham,Good job,5857,218869,2676.029954,0.59,med,low,#ace4e4
7/1/2018,Q2_1819,Barking and Dagenham,Trust MPS,5857,218869,2676.029954,0.82,med,low,#ace4e4
7/1/2018,Q2_1819,Barking and Dagenham,Fair treatment,5857,218869,2676.029954,0.82,med,high,#8c62aa
7/1/2019,Q2_1920,Barking and Dagenham,Good job,6606,218869,3018.24379,0.57,med,low,#ace4e4
7/1/2019,Q2_1920,Barking and Dagenham,Trust MPS,6606,218869,3018.24379,0.84,med,med,#a5add3
7/1/2019,Q2_1920,Barking and Dagenham,Fair treatment,6606,218869,3018.24379,0.79,med,med,#a5add3
7/1/2020,Q2_2021,Barking and Dagenham,Good job,6546,218869,2990.830131,0.59,med,med,#a5add3
7/1/2020,Q2_2021,Barking and Dagenham,Trust MPS,6546,218869,2990.830131,0.85,med,high,#8c62aa
7/1/2020,Q2_2021,Barking and Dagenham,Fair treatment,6546,218869,2990.830131,0.73,med,med,#a5add3
7/1/2021,Q2_2122,Barking and Dagenham,Good job,6423,218869,2934.632132,0.44,med,low,#ace4e4
7/1/2021,Q2_2122,Barking and Dagenham,Trust MPS,6423,218869,2934.632132,0.77,med,med,#a5add3
7/1/2021,Q2_2122,Barking and Dagenham,Fair treatment,6423,218869,2934.632132,0.66,med,med,#a5add3
7/1/2022,Q2_2223,Barking and Dagenham,Good job,6364,218869,2907.675367,0.5,med,med,#a5add3
7/1/2022,Q2_2223,Barking and Dagenham,Trust MPS,6364,218869,2907.675367,0.77,med,high,#8c62aa
7/1/2022,Q2_2223,Barking and Dagenham,Fair treatment,6364,218869,2907.675367,0.71,med,high,#8c62aa
7/1/2023,Q2_2324,Barking and Dagenham,Good job,7587,218869,3466.457104,0.47,high,med,#5698b9
7/1/2023,Q2_2324,Barking and Dagenham,Trust MPS,7587,218869,3466.457104,0.69,high,med,#5698b9
7/1/2023,Q2_2324,Barking and Dagenham,Fair treatment,7587,218869,3466.457104,0.63,high,med,#5698b9
7/1/2024,Q2_2425,Barking and Dagenham,Good job,6843,218869,3126.52774,0.42,med,low,#ace4e4
7/1/2024,Q2_2425,Barking and Dagenham,Trust MPS,6843,218869,3126.52774,0.75,med,med,#a5add3
7/1/2024,Q2_2425,Barking and Dagenham,Fair treatment,6843,218869,3126.52774,0.67,med,high,#8c62aa
7/1/2025,Q2_2526,Barking and Dagenham,Good job,6840,218869,3125.157057,0.46,med,med,#a5add3
7/1/2025,Q2_2526,Barking and Dagenham,Trust MPS,6840,218869,3125.157057,0.77,med,med,#a5add3
7/1/2025,Q2_2526,Barking and Dagenham,Fair treatment,6840,218869,3125.157057,0.69,med,med,#a5add3
10/1/2015,Q3_1516,Barking and Dagenham,Good job,1269,218869,579.7988751,0.66,med,med,#a5add3
10/1/2015,Q3_1516,Barking and Dagenham,Fair treatment,1269,218869,579.7988751,0.76,med,med,#a5add3
10/1/2016,Q3_1617,Barking and Dagenham,Good job,1260,218869,575.6868264,0.76,med,high,#8c62aa
10/1/2016,Q3_1617,Barking and Dagenham,Trust MPS,1260,218869,575.6868264,0.88,med,med,#a5add3
10/1/2016,Q3_1617,Barking and Dagenham,Fair treatment,1260,218869,575.6868264,0.82,med,high,#8c62aa
10/1/2017,Q3_1718,Barking and Dagenham,Good job,5899,218869,2695.219515,0.6,med,low,#ace4e4
10/1/2017,Q3_1718,Barking and Dagenham,Trust MPS,5899,218869,2695.219515,0.89,med,med,#a5add3
10/1/2017,Q3_1718,Barking and Dagenham,Fair treatment,5899,218869,2695.219515,0.86,med,high,#8c62aa
10/1/2018,Q3_1819,Barking and Dagenham,Good job,5987,218869,2735.426214,0.61,med,med,#a5add3
10/1/2018,Q3_1819,Barking and Dagenham,Trust MPS,5987,218869,2735.426214,0.83,med,low,#ace4e4
10/1/2018,Q3_1819,Barking and Dagenham,Fair treatment,5987,218869,2735.426214,0.81,med,high,#8c62aa
10/1/2019,Q3_1920,Barking and Dagenham,Good job,6640,218869,3033.778196,0.55,med,low,#ace4e4
10/1/2019,Q3_1920,Barking and Dagenham,Trust MPS,6640,218869,3033.778196,0.84,med,med,#a5add3
10/1/2019,Q3_1920,Barking and Dagenham,Fair treatment,6640,218869,3033.778196,0.76,med,low,#ace4e4
10/1/2020,Q3_2021,Barking and Dagenham,Good job,6141,218869,2805.787937,0.53,med,low,#ace4e4
10/1/2020,Q3_2021,Barking and Dagenham,Trust MPS,6141,218869,2805.787937,0.84,med,med,#a5add3
10/1/2020,Q3_2021,Barking and Dagenham,Fair treatment,6141,218869,2805.787937,0.69,med,med,#a5add3
10/1/2021,Q3_2122,Barking and Dagenham,Good job,6300,218869,2878.434132,0.5,med,med,#a5add3
10/1/2021,Q3_2122,Barking and Dagenham,Trust MPS,6300,218869,2878.434132,0.78,med,med,#a5add3
10/1/2021,Q3_2122,Barking and Dagenham,Fair treatment,6300,218869,2878.434132,0.7,med,med,#a5add3
10/1/2022,Q3_2223,Barking and Dagenham,Good job,6878,218869,3142.519041,0.46,high,low,#5ac8c8
10/1/2022,Q3_2223,Barking and Dagenham,Trust MPS,6878,218869,3142.519041,0.73,high,med,#5698b9
10/1/2022,Q3_2223,Barking and Dagenham,Fair treatment,6878,218869,3142.519041,0.69,high,high,#3b4994
10/1/2023,Q3_2324,Barking and Dagenham,Good job,6411,218869,2929.1494,0.48,med,med,#a5add3
10/1/2023,Q3_2324,Barking and Dagenham,Trust MPS,6411,218869,2929.1494,0.71,med,med,#a5add3
10/1/2023,Q3_2324,Barking and Dagenham,Fair treatment,6411,218869,2929.1494,0.63,med,med,#a5add3
10/1/2024,Q3_2425,Barking and Dagenham,Good job,7028,218869,3211.053187,0.43,med,low,#ace4e4
10/1/2024,Q3_2425,Barking and Dagenham,Trust MPS,7028,218869,3211.053187,0.75,med,med,#a5add3
10/1/2024,Q3_2425,Barking and Dagenham,Fair treatment,7028,218869,3211.053187,0.68,med,high,#8c62aa
10/1/2025,Q3_2526,Barking and Dagenham,Good job,6667,218869,3046.114342,0.45,med,med,#a5add3
10/1/2025,Q3_2526,Barking and Dagenham,Trust MPS,6667,218869,3046.114342,0.76,med,med,#a5add3
10/1/2025,Q3_2526,Barking and Dagenham,Fair treatment,6667,218869,3046.114342,0.69,med,med,#a5add3
1/1/2015,Q4_1415,Barking and Dagenham,Good job,1322,218869,604.0142734,0.57,high,low,#5ac8c8
1/1/2015,Q4_1415,Barking and Dagenham,Fair treatment,1322,218869,604.0142734,0.74,high,med,#5698b9
1/1/2016,Q4_1516,Barking and Dagenham,Good job,1415,218869,646.5054439,0.68,high,med,#5698b9
1/1/2016,Q4_1516,Barking and Dagenham,Trust MPS,1415,218869,646.5054439,0.83,high,low,#5ac8c8
1/1/2016,Q4_1516,Barking and Dagenham,Fair treatment,1415,218869,646.5054439,0.77,high,med,#5698b9
1/1/2017,Q4_1617,Barking and Dagenham,Good job,1224,218869,559.2386313,0.74,med,high,#8c62aa
1/1/2017,Q4_1617,Barking and Dagenham,Trust MPS,1224,218869,559.2386313,0.89,med,med,#a5add3
1/1/2017,Q4_1617,Barking and Dagenham,Fair treatment,1224,218869,559.2386313,0.84,med,high,#8c62aa
1/1/2018,Q4_1718,Barking and Dagenham,Good job,5713,218869,2610.237174,0.59,med,low,#ace4e4
1/1/2018,Q4_1718,Barking and Dagenham,Trust MPS,5713,218869,2610.237174,0.86,med,med,#a5add3
1/1/2018,Q4_1718,Barking and Dagenham,Fair treatment,5713,218869,2610.237174,0.84,med,high,#8c62aa
1/1/2019,Q4_1819,Barking and Dagenham,Good job,6302,218869,2879.34792,0.59,med,med,#a5add3
1/1/2019,Q4_1819,Barking and Dagenham,Trust MPS,6302,218869,2879.34792,0.83,med,med,#a5add3
1/1/2019,Q4_1819,Barking and Dagenham,Fair treatment,6302,218869,2879.34792,0.79,med,med,#a5add3
1/1/2020,Q4_1920,Barking and Dagenham,Good job,6623,218869,3026.010993,0.57,med,low,#ace4e4
1/1/2020,Q4_1920,Barking and Dagenham,Trust MPS,6623,218869,3026.010993,0.85,med,med,#a5add3
1/1/2020,Q4_1920,Barking and Dagenham,Fair treatment,6623,218869,3026.010993,0.76,med,low,#ace4e4
1/1/2021,Q4_2021,Barking and Dagenham,Good job,5642,218869,2577.797678,0.5,med,low,#ace4e4
1/1/2021,Q4_2021,Barking and Dagenham,Trust MPS,5642,218869,2577.797678,0.81,med,med,#a5add3
1/1/2021,Q4_2021,Barking and Dagenham,Fair treatment,5642,218869,2577.797678,0.68,med,low,#ace4e4
1/1/2022,Q4_2122,Barking and Dagenham,Good job,6243,218869,2852.391156,0.46,med,low,#ace4e4
1/1/2022,Q4_2122,Barking and Dagenham,Trust MPS,6243,218869,2852.391156,0.77,med,med,#a5add3
1/1/2022,Q4_2122,Barking and Dagenham,Fair treatment,6243,218869,2852.391156,0.7,med,high,#8c62aa
1/1/2023,Q4_2223,Barking and Dagenham,Good job,6639,218869,3033.321302,0.48,med,low,#ace4e4
1/1/2023,Q4_2223,Barking and Dagenham,Trust MPS,6639,218869,3033.321302,0.71,med,med,#a5add3
1/1/2023,Q4_2223,Barking and Dagenham,Fair treatment,6639,218869,3033.321302,0.67,med,med,#a5add3
1/1/2024,Q4_2324,Barking and Dagenham,Good job,6884,218869,3145.260407,0.48,med,med,#a5add3
1/1/2024,Q4_2324,Barking and Dagenham,Trust MPS,6884,218869,3145.260407,0.74,med,high,#8c62aa
1/1/2024,Q4_2324,Barking and Dagenham,Fair treatment,6884,218869,3145.260407,0.65,med,high,#8c62aa
1/1/2025,Q4_2425,Barking and Dagenham,Good job,6345,218869,2898.994376,0.4,med,low,#ace4e4
1/1/2025,Q4_2425,Barking and Dagenham,Trust MPS,6345,218869,2898.994376,0.74,med,low,#ace4e4
