date,quarter,borough,metric,metric_value
10/1/2014,Q3_1415,Barking and Dagenham,Good job,0.56
1/1/2015,Q4_1415,Barking and Dagenham,Good job,0.57
4/1/2015,Q1_1516,Barking and Dagenham,Good job,0.61
7/1/2015,Q2_1516,Barking and Dagenham,Good job,0.61
10/1/2015,Q3_1516,Barking and Dagenham,Good job,0.66
1/1/2016,Q4_1516,Barking and Dagenham,Good job,0.68
4/1/2016,Q1_1617,Barking and Dagenham,Good job,0.72
7/1/2016,Q2_1617,Barking and Dagenham,Good job,0.77
10/1/2016,Q3_1617,Barking and Dagenham,Good job,0.76
1/1/2017,Q4_1617,Barking and Dagenham,Good job,0.74
4/1/2017,Q1_1718,Barking and Dagenham,Good job,0.68
7/1/2017,Q2_1718,Barking and Dagenham,Good job,0.65
10/1/2017,Q3_1718,Barking and Dagenham,Good job,0.6
1/1/2018,Q4_1718,Barking and Dagenham,Good job,0.59
4/1/2018,Q1_1819,Barking and Dagenham,Good job,0.59
7/1/2018,Q2_1819,Barking and Dagenham,Good job,0.59
10/1/2018,Q3_1819,Barking and Dagenham,Good job,0.61
1/1/2019,Q4_1819,Barking and Dagenham,Good job,0.59
4/1/2019,Q1_1920,Barking and Dagenham,Good job,0.57
7/1/2019,Q2_1920,Barking and Dagenham,Good job,0.57
10/1/2019,Q3_1920,Barking and Dagenham,Good job,0.55
1/1/2020,Q4_1920,Barking and Dagenham,Good job,0.57
4/1/2020,Q1_2021,Barking and Dagenham,Good job,0.61
7/1/2020,Q2_2021,Barking and Dagenham,Good job,0.59
10/1/2020,Q3_2021,Barking and Dagenham,Good job,0.53
1/1/2021,Q4_2021,Barking and Dagenham,Good job,0.5
4/1/2021,Q1_2122,Barking and Dagenham,Good job,0.47
7/1/2021,Q2_2122,Barking and Dagenham,Good job,0.44
10/1/2021,Q3_2122,Barking and Dagenham,Good job,0.5
1/1/2022,Q4_2122,Barking and Dagenham,Good job,0.46
4/1/2022,Q1_2223,Barking and Dagenham,Good job,0.47
7/1/2022,Q2_2223,Barking and Dagenham,Good job,0.5
10/1/2022,Q3_2223,Barking and Dagenham,Good job,0.46
1/1/2023,Q4_2223,Barking and Dagenham,Good job,0.48
4/1/2023,Q1_2324,Barking and Dagenham,Good job,0.49
7/1/2023,Q2_2324,Barking and Dagenham,Good job,0.47
10/1/2023,Q3_2324,Barking and Dagenham,Good job,0.48
1/1/2024,Q4_2324,Barking and Dagenham,Good job,0.48
4/1/2024,Q1_2425,Barking and Dagenham,Good job,0.43
7/1/2024,Q2_2425,Barking and Dagenham,Good job,0.42
10/1/2024,Q3_2425,Barking and Dagenham,Good job,0.43
1/1/2025,Q4_2425,Barking and Dagenham,Good job,0.4
4/1/2025,Q1_2526,Barking and Dagenham,Good job,0.43
7/1/2025,Q2_2526,Barking and Dagenham,Good job,0.46
10/1/2025,Q3_2526,Barking and Dagenham,Good job,0.45
1/1/2026,Q4_2526,Barking and Dagenham,Good job,0.49
1/1/2016,Q4_1516,Barking and Dagenham,Trust MPS,0.83
4/1/2016,Q1_1617,Barking and Dagenham,Trust MPS,0.85
7/1/2016,Q2_1617,Barking and Dagenham,Trust MPS,0.86
10/1/2016,Q3_1617,Barking and Dagenham,Trust MPS,0.88
1/1/2017,Q4_1617,Barking and Dagenham,Trust MPS,0.89
4/1/2017,Q1_1718,Barking and Dagenham,Trust MPS,0.91
7/1/2017,Q2_1718,Barking and Dagenham,Trust MPS,0.9
10/1/2017,Q3_1718,Barking and Dagenham,Trust MPS,0.89
