date,crime_type,avg_tone,total_headline_count,duplicate_headline_count,total_duplicate_publishes
4/1/2017,ARSON AND CRIMINAL DAMAGE,-3.798297296378974,32,2,19
4/1/2017,BURGLARY,-3.8123021719944563,29,4,12
4/1/2017,DOMESTIC ABUSE,-4.585506863944746,10,1,3
4/1/2017,DRUG OFFENCES,-3.691665368367956,68,4,8
4/1/2017,FRAUD AND FORGERY,-4.622750337698947,28,3,4
4/1/2017,GUN CRIME,-3.6228713737632097,2,0,0
4/1/2017,HATE CRIME,-6.541149454244244,64,5,13
4/1/2017,KNIFE CRIME,-7.160149050181087,201,26,74
4/1/2017,LETHAL BARREL DISCHARGE,-6.262236561028943,100,4,27
4/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,-6.18622448979592,2,1,1
4/1/2017,NFIB FRAUD,-5.36912751677852,1,0,0
4/1/2017,POSSESSION OF WEAPONS,-5.837411177526083,86,4,28
4/1/2017,ROBBERY,-5.1987574105842596,13,0,0
4/1/2017,SEXUAL OFFENCES,-7.644914785604403,79,9,22
4/1/2017,THEFT,-5.3032970243237525,32,4,5
4/1/2017,VEHICLE OFFENCES,-5.3725451432707585,7,0,0
4/1/2017,VIOLENCE AGAINST THE PERSON,-6.506984245392908,932,43,298
5/1/2017,ARSON AND CRIMINAL DAMAGE,-1.9053799697760185,15,1,1
5/1/2017,DOMESTIC ABUSE,-3.45256169846802,3,0,0
5/1/2017,DRUG OFFENCES,-4.6536495420104345,68,2,2
5/1/2017,FRAUD AND FORGERY,-4.424356843067566,28,1,7
5/1/2017,GUN CRIME,-3.82775119617225,1,0,0
5/1/2017,HATE CRIME,-4.258326158282675,21,1,1
5/1/2017,KNIFE CRIME,-7.211166124504518,187,22,65
5/1/2017,LETHAL BARREL DISCHARGE,-4.946204512546102,50,2,13
5/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,-7.099259151956622,4,0,0
5/1/2017,POSSESSION OF WEAPONS,-4.650711668562643,62,5,24
5/1/2017,PUBLIC ORDER OFFENCES,-4.20992606575429,2,0,0
5/1/2017,ROBBERY,-7.246372113369082,43,2,12
5/1/2017,SEXUAL OFFENCES,-6.839506383086853,78,6,14
5/1/2017,THEFT,-2.128312279354879,45,2,13
5/1/2017,VEHICLE OFFENCES,-3.8769798398492354,17,2,2
5/1/2017,VIOLENCE AGAINST THE PERSON,-4.768553650684872,525,30,138
6/1/2017,ARSON AND CRIMINAL DAMAGE,-2.8273531128331593,159,10,52
6/1/2017,BURGLARY,-8.567869218537734,7,1,1
6/1/2017,DOMESTIC ABUSE,-4.371929567932704,6,1,1
6/1/2017,DRUG OFFENCES,-5.2766836203025465,57,6,8
6/1/2017,FRAUD AND FORGERY,-5.288142698587067,32,3,10
6/1/2017,GUN CRIME,-3.6326142131979697,2,0,0
6/1/2017,HATE CRIME,-6.2360245403192565,47,1,2
6/1/2017,KNIFE CRIME,-6.154413332846509,198,14,54
6/1/2017,LETHAL BARREL DISCHARGE,-5.370593506783225,108,7,23
6/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,-5.724361047292735,4,0,0
6/1/2017,POSSESSION OF WEAPONS,-3.8965000767433473,45,3,10
6/1/2017,PUBLIC ORDER OFFENCES,-4.674046444704806,12,0,0
6/1/2017,ROBBERY,-6.108099011564985,31,2,5
6/1/2017,SEXUAL OFFENCES,-5.517047179333806,35,3,4
6/1/2017,THEFT,-4.159864644444175,25,4,6
6/1/2017,VEHICLE OFFENCES,-5.795829912482366,28,5,10
6/1/2017,VIOLENCE AGAINST THE PERSON,-5.5424458253867765,1271,57,289
7/1/2017,ARSON AND CRIMINAL DAMAGE,-3.2623655721130067,57,5,21
7/1/2017,BURGLARY,-5.020417259690765,9,0,0
7/1/2017,DOMESTIC ABUSE,-4.923457361576191,3,0,0
7/1/2017,DRUG OFFENCES,-4.167076447297968,57,3,10
7/1/2017,FRAUD AND FORGERY,-6.017715573938747,23,1,1
7/1/2017,GUN CRIME,-5.980022615906522,4,1,1
7/1/2017,HATE CRIME,-7.833762480665961,43,3,14
7/1/2017,KNIFE CRIME,-6.955302980932418,85,11,13
7/1/2017,LETHAL BARREL DISCHARGE,-7.490393698049173,32,4,11
7/1/2017,NFIB FRAUD,-2.73255813953488,1,0,0
7/1/2017,POSSESSION OF WEAPONS,-5.498699773047426,43,2,3
7/1/2017,PUBLIC ORDER OFFENCES,-7.7320166086858935,3,0,0
7/1/2017,ROBBERY,-5.717989724937351,25,3,3
7/1/2017,SEXUAL OFFENCES,-7.043620213944003,59,1,1
7/1/2017,THEFT,-3.883506228555846,36,9,10
7/1/2017,VEHICLE OFFENCES,-5.721519680517504,14,2,2
7/1/2017,VIOLENCE AGAINST THE PERSON,-6.515353895359921,324,22,89
8/1/2017,ARSON AND CRIMINAL DAMAGE,-3.0522736718198176,36,4,10
8/1/2017,BURGLARY,-7.1843865243392395,14,3,4
8/1/2017,DOMESTIC ABUSE,-3.014211222619336,8,2,2
8/1/2017,DRUG OFFENCES,-3.3865018781616487,100,7,22
8/1/2017,FRAUD AND FORGERY,-5.517323533717308,26,2,2
8/1/2017,GUN CRIME,-3.521543179271768,5,1,1
8/1/2017,HATE CRIME,-6.278933028976496,43,4,18
8/1/2017,KNIFE CRIME,-7.1454810498097645,168,14,50
8/1/2017,LETHAL BARREL DISCHARGE,-4.2265888800235825,21,2,3
8/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,-5.348655621944598,4,1,1
8/1/2017,POSSESSION OF WEAPONS,-5.444948653345685,35,3,8
8/1/2017,PUBLIC ORDER OFFENCES,-3.9014007593051323,5,1,1
8/1/2017,ROBBERY,-6.03109348880209,33,3,8
8/1/2017,SEXUAL OFFENCES,-5.916305258533081,74,7,27
8/1/2017,THEFT,-6.927594498981646,38,4,10
8/1/2017,VEHICLE OFFENCES,-2.5652742193416276,12,1,1
8/1/2017,VIOLENCE AGAINST THE PERSON,-6.413110372438767,265,19,57
9/1/2017,ARSON AND CRIMINAL DAMAGE,-4.027846301017959,33,3,21
9/1/2017,BURGLARY,-6.491169031478854,20,4,4
9/1/2017,DOMESTIC ABUSE,-9.434264654060742,7,1,1
9/1/2017,DRUG OFFENCES,-2.7721041194673157,64,3,15
9/1/2017,FRAUD AND FORGERY,-4.383508902813078,46,3,16
9/1/2017,GUN CRIME,-1.6,9,1,7
9/1/2017,HATE CRIME,-5.37553185013997,50,4,20
9/1/2017,KNIFE CRIME,-7.660396021873813,130,15,48
9/1/2017,LETHAL BARREL DISCHARGE,-5.827622237644534,60,4,17
9/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,-3.9647577092511,1,0,0
9/1/2017,NFIB FRAUD,-6.61157024793389,1,0,0
9/1/2017,POSSESSION OF WEAPONS,-6.047934718978123,33,1,1
9/1/2017,PUBLIC ORDER OFFENCES,-3.7016254156178747,4,0,0
9/1/2017,ROBBERY,-4.970380036132677,76,5,26
9/1/2017,SEXUAL OFFENCES,-6.132582417073639,71,4,13
9/1/2017,THEFT,-4.887594893431383,19,1,1
9/1/2017,VEHICLE OFFENCES,-6.562302629996296,22,4,4
9/1/2017,VIOLENCE AGAINST THE PERSON,-6.307469737922389,467,23,115
10/1/2017,ARSON AND CRIMINAL DAMAGE,-2.2959463435370275,27,4,13
10/1/2017,BURGLARY,-6.880561778868497,17,3,4
10/1/2017,DOMESTIC ABUSE,-4.494152699859735,11,0,0
10/1/2017,DRUG OFFENCES,-5.246630853422813,102,8,34
10/1/2017,FRAUD AND FORGERY,-5.038679129406033,38,2,15
10/1/2017,GUN CRIME,-4.40771349862259,1,0,0
10/1/2017,HATE CRIME,-6.721920331068213,36,3,13
10/1/2017,KNIFE CRIME,-6.896567179003234,192,14,73
10/1/2017,LETHAL BARREL DISCHARGE,-5.308637154409973,30,0,0
