crime_type,date,residual
ARSON AND CRIMINAL DAMAGE,4/1/2017,-8.684604089
ARSON AND CRIMINAL DAMAGE,5/1/2017,-22.13305104
ARSON AND CRIMINAL DAMAGE,6/1/2017,147.1821537
ARSON AND CRIMINAL DAMAGE,7/1/2017,22.1037493
ARSON AND CRIMINAL DAMAGE,8/1/2017,0.497358385
ARSON AND CRIMINAL DAMAGE,9/1/2017,-9.917326007
ARSON AND CRIMINAL DAMAGE,10/1/2017,-24.79835823
ARSON AND CRIMINAL DAMAGE,11/1/2017,-17.93318768
ARSON AND CRIMINAL DAMAGE,12/1/2017,16.84020803
ARSON AND CRIMINAL DAMAGE,1/1/2018,-10.2284523
ARSON AND CRIMINAL DAMAGE,2/1/2018,6.979567892
ARSON AND CRIMINAL DAMAGE,3/1/2018,-5.145969508
ARSON AND CRIMINAL DAMAGE,4/1/2018,1.302025444
ARSON AND CRIMINAL DAMAGE,5/1/2018,-7.77841814
ARSON AND CRIMINAL DAMAGE,6/1/2018,46.709005
ARSON AND CRIMINAL DAMAGE,7/1/2018,10.68339928
ARSON AND CRIMINAL DAMAGE,8/1/2018,54.60748611
ARSON AND CRIMINAL DAMAGE,9/1/2018,22.67410723
ARSON AND CRIMINAL DAMAGE,10/1/2018,-9.731285116
ARSON AND CRIMINAL DAMAGE,11/1/2018,5.18464488
ARSON AND CRIMINAL DAMAGE,12/1/2018,-6.0403722
ARSON AND CRIMINAL DAMAGE,1/1/2019,1.994977568
ARSON AND CRIMINAL DAMAGE,2/1/2019,5.805310257
ARSON AND CRIMINAL DAMAGE,3/1/2019,-14.06801713
ARSON AND CRIMINAL DAMAGE,4/1/2019,6.12006297
ARSON AND CRIMINAL DAMAGE,5/1/2019,-4.496523988
ARSON AND CRIMINAL DAMAGE,6/1/2019,37.46449982
ARSON AND CRIMINAL DAMAGE,7/1/2019,3.879184216
ARSON AND CRIMINAL DAMAGE,8/1/2019,2.918612402
ARSON AND CRIMINAL DAMAGE,9/1/2019,11.32763117
ARSON AND CRIMINAL DAMAGE,10/1/2019,-14.17361444
ARSON AND CRIMINAL DAMAGE,11/1/2019,-6.586259621
ARSON AND CRIMINAL DAMAGE,12/1/2019,1.994977568
ARSON AND CRIMINAL DAMAGE,1/1/2020,3.685890484
ARSON AND CRIMINAL DAMAGE,2/1/2020,-2.570397947
ARSON AND CRIMINAL DAMAGE,3/1/2020,-3.539126597
ARSON AND CRIMINAL DAMAGE,4/1/2020,12.83544639
ARSON AND CRIMINAL DAMAGE,5/1/2020,28.85856091
ARSON AND CRIMINAL DAMAGE,6/1/2020,-6.570397947
ARSON AND CRIMINAL DAMAGE,7/1/2020,-10.34175445
ARSON AND CRIMINAL DAMAGE,8/1/2020,-7.889681077
ARSON AND CRIMINAL DAMAGE,9/1/2020,-5.386396264
ARSON AND CRIMINAL DAMAGE,10/1/2020,-10.77388772
ARSON AND CRIMINAL DAMAGE,11/1/2020,-5.824647169
ARSON AND CRIMINAL DAMAGE,12/1/2020,-0.04762504
ARSON AND CRIMINAL DAMAGE,1/1/2021,6.929260445
ARSON AND CRIMINAL DAMAGE,2/1/2021,7.888245048
ARSON AND CRIMINAL DAMAGE,3/1/2021,-1.200355373
ARSON AND CRIMINAL DAMAGE,4/1/2021,-0.094758065
ARSON AND CRIMINAL DAMAGE,5/1/2021,8.885301843
ARSON AND CRIMINAL DAMAGE,6/1/2021,-13.35557691
ARSON AND CRIMINAL DAMAGE,7/1/2021,-5.91120838
ARSON AND CRIMINAL DAMAGE,8/1/2021,-10.19672895
ARSON AND CRIMINAL DAMAGE,9/1/2021,-12.29258221
ARSON AND CRIMINAL DAMAGE,10/1/2021,-9.566771527
ARSON AND CRIMINAL DAMAGE,11/1/2021,-5.46480064
ARSON AND CRIMINAL DAMAGE,12/1/2021,3.885753841
ARSON AND CRIMINAL DAMAGE,1/1/2022,-7.396140312
ARSON AND CRIMINAL DAMAGE,2/1/2022,6.688381691
ARSON AND CRIMINAL DAMAGE,3/1/2022,-6.053742667
ARSON AND CRIMINAL DAMAGE,4/1/2022,-8.002983223
ARSON AND CRIMINAL DAMAGE,5/1/2022,-11.98349513
ARSON AND CRIMINAL DAMAGE,6/1/2022,-2.572437156
