Day,Month,headline,count_day,Rank_Day,Top_Day,count_month,Rank_Month,Top_Month,Headline_Source
2015-03-15,2015-03-01,Show goes on at blaze arts centre,6,1,True,10.0,1.0,True,http://www.lancashiretelegraph.co.uk/news/national/11856541.display/
2015-03-04,2015-03-01,Drug reform no longer taboo: Clegg,6,1,True,6.0,2.0,True,http://www.lancashiretelegraph.co.uk/news/national/11831536.display/
2015-03-19,2015-03-01,Militant leader killed in air raid,5,1,True,5.0,3.0,True,http://www.wiltsglosstandard.co.uk/news/national/11865111.Militant_leader_killed_in_air_raid/
2015-03-02,2015-03-01,Drug-accused economist speaks out,4,1,True,,,False,http://www.westerntelegraph.co.uk/news/national/11828738.display/
2015-04-29,2015-04-01,Student's campaign after sex attack,11,1,True,11.0,1.0,True,http://www.southendstandard.co.uk/news/national/12919338.Student_s_campaign_after_sex_attack/
2015-04-30,2015-04-01,Sex offender wins compensation bid,9,1,True,9.0,2.0,True,http://www.lancashiretelegraph.co.uk/news/national/12925472.display/
2015-04-08,2015-04-01,'70 boxes' opened in jewel heist,6,1,True,6.0,3.0,True,http://www.essexcountystandard.co.uk/news/national/12876323.display/
2015-04-09,2015-04-01,'Recruit left pregnant after rape',5,1,True,,,False,http://www.westerntelegraph.co.uk/news/national/12880561.display/
2015-05-07,2015-05-01,Six face terror fraud charges,12,1,True,12.0,1.0,True,http://www.haringeyindependent.co.uk/news/national/12935583.Six_face_terror_fraud_charges/
2015-05-21,2015-05-01,Sir Cliff Richard 'won't go back to raid home',8,1,True,8.0,2.0,True,http://www.essexcountystandard.co.uk/leisure/national/12963908.Sir_Cliff_Richard__won_t_go_back_to_raid_home_/
2015-05-08,2015-05-01,Slave-case man 'punched in eye',8,1,True,8.0,3.0,True,http://www.haringeyindependent.co.uk/news/national/12939862.Slave_case_man__punched_in_eye_/
2015-05-01,2015-05-01,Ex-MP Joyce found guilty of attack,7,1,True,,,False,http://www.lancashiretelegraph.co.uk/news/national/12925969.display/
2015-06-27,2015-06-01,tunisia attack shooting 15 british tourists dead live,7,2,True,12.0,1.0,True,http://www.telegraph.co.uk/news/worldnews/africaandindianocean/tunisia/11701043/Tunisia-attack-shooting-15-british-tourists-dead-live.html
2015-06-18,2015-06-01,Ex is charged over lost baby attack,11,1,True,11.0,2.0,True,http://www.westerntelegraph.co.uk/news/national/13338376.Mum_to_be_attack__man_is_charged/
2015-06-27,2015-06-01,tunisia attack deadly shooting in front of tourist beach hotel live,8,1,True,9.0,3.0,True,http://www.telegraph.co.uk/news/worldnews/africaandindianocean/tunisia/11701043/Tunisia-attack-deadly-shooting-in-front-of-tourist-beach-hotel-live.html?frame=3356099
2015-06-01,2015-06-01,Syria weapons question 'hit case',8,1,True,,,False,http://www.westerntelegraph.co.uk/news/national/13216437.display/
2015-07-10,2015-07-01,"Man killed, woman hurt in shooting",13,1,True,17.0,1.0,True,http://www.wiltsglosstandard.co.uk/news/national/13407644.Man_dead__woman_hurt_in_shooting/
2015-07-31,2015-07-01,Trafficking victim's relief at finding refuge in UK safe house,14,1,True,14.0,2.0,True,http://www.maldonandburnhamstandard.co.uk/news/national/13521512.Trafficking_victim_s_relief_at_finding_refuge_in_UK_safe_house/
2015-07-11,2015-07-01,Murder probe after double shooting,11,1,True,11.0,3.0,True,http://www.maldonandburnhamstandard.co.uk/news/national/13407735.Murder_probe_after_double_shooting/
2015-07-14,2015-07-01,Nine arrested over shooting of 'innocent bystanders',9,1,True,,,False,http://www.harwichandmanningtreestandard.co.uk/news/national/13418734.Nine_arrested_over_shooting_of__innocent_bystanders_/
2015-08-09,2015-08-01,Met Police officers and paramedics attacked by masked mob at party,12,1,True,12.0,1.0,True,http://www.haringeyindependent.co.uk/news/national/13583904.400_strong__masked_mob__attacks_Met_police/
2015-08-24,2015-08-01,Murder probe as pensioner stabbed to death and children injured,10,1,True,10.0,2.0,True,http://www.lancashiretelegraph.co.uk/news/national/13623260.display/
2015-08-06,2015-08-01,Russian fraud whistleblower 'could be reprisal killing victim',10,1,True,10.0,3.0,True,http://www.maldonandburnhamstandard.co.uk/news/national/13579920.Russian_fraud_whistleblower__could_be_reprisal_killing_victim_/
2015-08-04,2015-08-01,Sir Edward Heath sex abuse claims: Fifth police force receives allegations,9,1,True,,,False,http://www.harwichandmanningtreestandard.co.uk/news/national/13527187.New_claim_that_Sir_Edward_Heath_raped_boy_aged_12__as_police_appeal_to_victims/
2015-09-06,2015-09-01,Man and woman stabbed to death at east London care home,13,1,True,13.0,1.0,True,http://www.essexcountystandard.co.uk/news/national/13648960.display/
2015-09-17,2015-09-01,Teenager faces life after conviction for stabbing murder of bike boy,11,1,True,11.0,2.0,True,http://www.wiltsglosstandard.co.uk/news/national/13767835.Teenager_faces_life_after_conviction_for_stabbing_murder_of_bike_boy/
2015-09-27,2015-09-01,East London cereal cafe suffers 'terrifying' attack by activists,10,1,True,10.0,3.0,True,http://www.essexcountystandard.co.uk/news/national/13787170.display/
2015-09-05,2015-09-01,Murder probe follows 'brutal' stabbing in east London,10,1,True,,,False,http://www.essexcountystandard.co.uk/news/national/13648398.display/
2015-10-15,2015-10-01,Police officer shot during raid a detective with Met's Trident gun crime unit,10,1,True,10.0,1.0,True,http://www.yeovilexpress.co.uk/news/national/13872436.Police_officer_in_hospital_after_being_shot_in_Hackney_armed_raid/
2015-10-16,2015-10-01,Man held as 'exceptional' police officer recovers in hospital after shooting,9,1,True,9.0,2.0,True,http://www.thetottenhamindependent.co.uk/news/national/13873358.display/
2015-10-11,2015-10-01,Michael Winner's widow beaten with iron bar during raid at her home,9,1,True,9.0,3.0,True,http://www.westerntelegraph.co.uk/news/national/13839886.display/
2015-10-04,2015-10-01,Child killer and rapist Robert Howard dies in prison,9,1,True,,,False,http://www.lancashiretelegraph.co.uk/news/national/13802606.display/
2015-11-14,2015-11-01,paris shootings terrorist attack french victims latest news,10,1,True,10.0,1.0,True,http://www.telegraph.co.uk/news/worldnews/europe/france/11995541/Paris-shootings-terrorist-attack-french-victims-latest-news.html?frame=3500802
