date,crime_type,crime_count,headline_count,headline_share,signed_jsd
4/1/2017,ARSON AND CRIMINAL DAMAGE,5136,11,0.013301088,-0.308342629
4/1/2017,BURGLARY,5852,12,0.014510278,-0.308342629
4/1/2017,DOMESTIC ABUSE,8503,6,0.007255139,-0.308342629
4/1/2017,DRUG OFFENCES,2891,56,0.067714631,0.308342629
4/1/2017,GUN CRIME,214,26,0.031438936,0.308342629
4/1/2017,HATE CRIME,4887,50,0.060459492,0.308342629
4/1/2017,KNIFE CRIME,2042,123,0.148730351,0.308342629
4/1/2017,LETHAL BARREL DISCHARGE,26,44,0.053204353,0.308342629
4/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,3272,2,0.00241838,-0.308342629
4/1/2017,PUBLIC ORDER OFFENCES,3761,0,0,-0.308342629
4/1/2017,ROBBERY,2498,29,0.035066505,0.308342629
4/1/2017,SEXUAL OFFENCES,1441,47,0.056831923,0.308342629
4/1/2017,THEFT,17894,29,0.035066505,-0.308342629
4/1/2017,VEHICLE OFFENCES,8594,9,0.010882709,-0.308342629
4/1/2017,VIOLENCE AGAINST THE PERSON,15860,383,0.46311971,0.308342629
5/1/2017,ARSON AND CRIMINAL DAMAGE,5482,13,0.016795866,-0.309730833
5/1/2017,BURGLARY,5826,1,0.00129199,-0.309730833
5/1/2017,DOMESTIC ABUSE,8852,3,0.003875969,-0.309730833
5/1/2017,DRUG OFFENCES,3193,65,0.083979328,0.309730833
5/1/2017,GUN CRIME,256,10,0.012919897,0.309730833
5/1/2017,HATE CRIME,5190,21,0.027131783,-0.309730833
5/1/2017,KNIFE CRIME,1877,130,0.167958656,0.309730833
5/1/2017,LETHAL BARREL DISCHARGE,37,38,0.049095607,0.309730833
5/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,3386,5,0.006459948,-0.309730833
5/1/2017,PUBLIC ORDER OFFENCES,4352,2,0.002583979,-0.309730833
5/1/2017,ROBBERY,2482,31,0.04005168,0.309730833
5/1/2017,SEXUAL OFFENCES,1706,51,0.065891473,0.309730833
5/1/2017,THEFT,19622,29,0.0374677,-0.309730833
5/1/2017,VEHICLE OFFENCES,9221,19,0.024547804,-0.309730833
5/1/2017,VIOLENCE AGAINST THE PERSON,17534,356,0.45994832,0.309730833
6/1/2017,ARSON AND CRIMINAL DAMAGE,5328,83,0.060144928,0.307693699
6/1/2017,BURGLARY,5731,6,0.004347826,-0.307693699
6/1/2017,DOMESTIC ABUSE,9151,5,0.003623188,-0.307693699
6/1/2017,DRUG OFFENCES,2875,46,0.033333333,0.307693699
6/1/2017,GUN CRIME,287,15,0.010869565,0.307693699
6/1/2017,HATE CRIME,6854,52,0.037681159,-0.307693699
6/1/2017,KNIFE CRIME,2209,137,0.099275362,0.307693699
6/1/2017,LETHAL BARREL DISCHARGE,40,59,0.042753623,0.307693699
6/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,3217,7,0.005072464,-0.307693699
6/1/2017,PUBLIC ORDER OFFENCES,4970,14,0.010144928,-0.307693699
6/1/2017,ROBBERY,2508,30,0.02173913,-0.307693699
6/1/2017,SEXUAL OFFENCES,1813,29,0.021014493,0.307693699
6/1/2017,THEFT,18943,21,0.015217391,-0.307693699
6/1/2017,VEHICLE OFFENCES,8407,18,0.013043478,-0.307693699
6/1/2017,VIOLENCE AGAINST THE PERSON,18037,858,0.62173913,0.307693699
7/1/2017,ARSON AND CRIMINAL DAMAGE,5471,34,0.055016181,-0.256731543
7/1/2017,BURGLARY,6216,9,0.014563107,-0.256731543
7/1/2017,DOMESTIC ABUSE,9351,3,0.004854369,-0.256731543
7/1/2017,DRUG OFFENCES,3276,46,0.074433657,0.256731543
7/1/2017,GUN CRIME,355,15,0.024271845,0.256731543
7/1/2017,HATE CRIME,6158,29,0.046925566,-0.256731543
7/1/2017,KNIFE CRIME,2181,96,0.155339806,0.256731543
7/1/2017,LETHAL BARREL DISCHARGE,44,23,0.037216828,0.256731543
7/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,3539,0,0,-0.256731543
7/1/2017,PUBLIC ORDER OFFENCES,4957,3,0.004854369,-0.256731543
7/1/2017,ROBBERY,2941,25,0.040453074,0.256731543
7/1/2017,SEXUAL OFFENCES,1778,55,0.088996764,0.256731543
7/1/2017,THEFT,20526,27,0.04368932,-0.256731543
7/1/2017,VEHICLE OFFENCES,8646,16,0.025889968,-0.256731543
7/1/2017,VIOLENCE AGAINST THE PERSON,18300,237,0.383495146,0.256731543
8/1/2017,ARSON AND CRIMINAL DAMAGE,5174,24,0.038095238,-0.258088921
8/1/2017,BURGLARY,6267,11,0.017460317,-0.258088921
8/1/2017,DOMESTIC ABUSE,8838,5,0.007936508,-0.258088921
8/1/2017,DRUG OFFENCES,3414,77,0.122222222,0.258088921
8/1/2017,GUN CRIME,259,14,0.022222222,0.258088921
8/1/2017,HATE CRIME,5286,24,0.038095238,-0.258088921
8/1/2017,KNIFE CRIME,2147,113,0.179365079,0.258088921
8/1/2017,LETHAL BARREL DISCHARGE,50,19,0.03015873,0.258088921
8/1/2017,MISCELLANEOUS CRIMES AGAINST SOCIETY,3289,2,0.003174603,-0.258088921
8/1/2017,PUBLIC ORDER OFFENCES,4222,4,0.006349206,-0.258088921
8/1/2017,ROBBERY,2728,31,0.049206349,0.258088921
8/1/2017,SEXUAL OFFENCES,1651,45,0.071428571,0.258088921
8/1/2017,THEFT,20046,32,0.050793651,-0.258088921
8/1/2017,VEHICLE OFFENCES,8633,10,0.015873016,-0.258088921
8/1/2017,VIOLENCE AGAINST THE PERSON,16154,219,0.347619048,0.258088921
